,countrycode,date,genuine,manual_genuine,number,series_index,value,class,manual_class
0,AFG,2020-06-05,True,True,1,157.0,707.9617257326897,2,2
1,AGO,2020-08-28,False,False,1,159.0,51.62428874304695,1,1
2,ALB,2020-08-21,False,False,2,165.0,144.14189840612744,1,1
3,ARE,2020-05-22,True,True,1,143.0,800.5439634659722,3,2
4,ARE,2020-07-05,False,False,2,187.0,475.00085872155114,3,2
5,ARM,2020-06-26,True,True,1,178.0,583.0856078897792,2,2
6,AUS,2020-08-02,True,True,2,215.0,462.96693361177745,4,4
7,AUS,2020-03-28,True,True,1,88.0,280.2337608188615,4,4
8,AUT,2020-03-28,True,True,1,88.0,577.6658221848296,3,3
9,AZE,2020-07-05,True,True,2,187.0,550.8462455255818,2,2
10,AZE,2020-04-09,False,False,1,100.0,58.75989737883275,2,2
11,BEL,2020-04-07,True,True,1,98.0,1449.4140940283974,4,3
12,BEL,2020-08-07,True,True,2,220.0,586.642269881779,4,3
13,BGD,2020-06-26,True,True,1,109.0,3620.7949327263445,2,2
14,BGD,2020-08-15,False,False,2,159.0,2610.3244783399937,2,2
15,BGR,2020-07-22,True,False,2,136.0,231.57063346440404,3,4
16,BGR,2020-04-29,False,False,1,52.0,51.00931132610097,3,4
17,BHR,2020-06-29,True,True,1,181.0,531.3976976071835,3,2
18,BIH,2020-08-03,False,True,2,150.0,284.21778114273343,1,4
19,BLR,2020-05-17,True,True,1,138.0,952.0826090644179,2,2
20,BOL,2020-07-24,True,True,1,134.0,1525.4745077718974,2,2
21,BRA,2020-08-02,True,False,1,215.0,44519.47185102684,2,1
22,CAF,2020-06-18,True,True,1,94.0,91.25032845864558,2,2
23,CAN,2020-04-26,True,True,1,117.0,1672.5269540822942,2,2
24,CAN,2020-07-25,False,False,2,207.0,450.84875817573095,2,2
25,CHE,2020-03-30,True,True,1,90.0,965.1284431910184,2,3
26,CHL,2020-06-17,True,True,1,105.0,7272.964093613209,2,2
27,CHN,2020-02-10,True,True,1,41.0,3382.950838095215,2,2
