"","flag","wave","estimate","p_value"
"1","si_response_time","1","0.22","3e-04"
"2","si_response_time","2","0.26","0.00058"
"3","si_response_time","all","0.3","<0.0001"
"4","si_response_time","class","0.2","0.002"
"5","c1_response_time","1","0.22","0.00031"
"6","c1_response_time","2","0.26","0.00057"
"7","c1_response_time","all","0.32","<0.0001"
"8","c1_response_time","class","0.23","0.00047"
"9","c2_response_time","1","0.12","0.086"
"10","c2_response_time","2","0.19","0.02"
"11","c2_response_time","all","0.21","0.0015"
"12","c2_response_time","class","0.16","0.026"
"13","c3_response_time","1","0.24","<0.0001"
"14","c3_response_time","2","0.23","0.0019"
"15","c3_response_time","all","0.34","<0.0001"
"16","c3_response_time","class","0.24","0.00028"
"17","c4_response_time","1","0.042","0.52"
"18","c4_response_time","2","0.046","0.54"
"19","c4_response_time","all","0.12","0.065"
"20","c4_response_time","class","0.13","0.069"
"21","c5_response_time","1","0.23","0.0027"
"22","c5_response_time","2","0.23","0.017"
"23","c5_response_time","all","0.28","0.00026"
"24","c5_response_time","class","0.13","0.13"
"25","c6_response_time","1","0.16","0.01"
"26","c6_response_time","2","0.13","0.095"
"27","c6_response_time","all","0.22","0.00043"
"28","c6_response_time","class","0.16","0.018"
"29","c7_response_time","1","0.21","0.00053"
"30","c7_response_time","2","0.24","0.0021"
"31","c7_response_time","all","0.3","<0.0001"
"32","c7_response_time","class","0.19","0.0038"
"33","c8_response_time","1","0.28","<0.0001"
"34","c8_response_time","2","0.13","0.12"
"35","c8_response_time","all","0.27","<0.0001"
"36","c8_response_time","class","0.13","0.073"
"37","h2_response_time","1","0.2","0.0056"
"38","h2_response_time","2","0.046","0.6"
"39","h2_response_time","all","0.14","0.057"
"40","h2_response_time","class","-0.059","0.45"
"41","h3_response_time","1","0.22","0.00077"
"42","h3_response_time","2","-0.027","0.74"
"43","h3_response_time","all","0.12","0.065"
"44","h3_response_time","class","0.045","0.53"
"45","testing_response_time_1","1","0.27","0.00018"
"46","testing_response_time_1","2","0.13","0.13"
"47","testing_response_time_1","all","0.26","0.00028"
"48","testing_response_time_1","class","0.065","0.4"
"49","testing_response_time_10","1","0.18","0.013"
"50","testing_response_time_10","2","-0.022","0.79"
"51","testing_response_time_10","all","0.14","0.047"
"52","testing_response_time_10","class","0.021","0.78"
"53","testing_response_time_100","1","0.021","0.77"
"54","testing_response_time_100","2","-0.2","0.02"
"55","testing_response_time_100","all","-0.12","0.1"
"56","testing_response_time_100","class","-0.11","0.16"
"57","testing_response_time_1000","1","0.082","0.32"
"58","testing_response_time_1000","2","-0.046","0.64"
"59","testing_response_time_1000","all","-0.042","0.62"
"60","testing_response_time_1000","class","-0.1","0.27"
