,class,country,countrycode,date_peak_1,date_peak_2,date_peak_3,dead_first_wave,duration_first_wave,duration_second_wave,duration_third_wave,first_wave_end,first_wave_start,last_confirmed,last_dead,last_tests,peak_1,peak_1_cfr,peak_1_dead_per_10k,peak_1_per_10k,peak_2,peak_2_cfr,peak_2_dead_per_10k,peak_2_per_10k,peak_3,peak_3_cfr,peak_3_dead_per_10k,peak_3_per_10k,population,second_wave_end,second_wave_start,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,testing_available,tests_first_wave,third_wave_end,third_wave_start,dead_second_wave,tests_second_wave,dead_third_wave,tests_third_wave
0,3.0,Aruba,ABW,2020-08-10,,,40.0,127.0,168.0,,2020-11-13,2020-07-09,10585.0,98.0,,20.428571428571427,0.00935620405435509,0.0,1.9215316353981062,,,,,,,,,106314.0,2021-04-30,2020-11-13,2020-08-18,2020-09-01,2020-04-16,2020-08-21,2020-03-17,0.0,,,,,,,
1,4.0,Afghanistan,AFG,2020-05-30,2020-12-01,,1457.0,267.0,216.0,,2020-09-26,2020-01-03,59745.0,2625.0,,653.8571428571429,0.03788025047081665,0.0013894507297729452,0.17187881054515597,215.71428571428572,0.059261958681486496,0.00296666507167737,0.056704610863706685,,,,,38041754.0,2021-02-26,2020-09-26,2020-04-21,2020-04-07,2020-03-23,2020-04-03,2020-04-01,0.0,,,,985.0,,,
2,2.0,Angola,AGO,2020-10-31,,,491.0,309.0,,,2021-02-16,2020-04-13,26431.0,594.0,,247.0,0.025694331883945626,0.0006284309383463688,0.07761122088577654,,,,,,,,,31825295.0,,,2020-07-29,2020-06-24,2020-03-31,2020-06-12,2020-06-19,0.0,,,,,,,
3,1.0,Albania,ALB,,,,,,,,2021-04-30,2020-03-30,130977.0,2389.0,,,,,,,,,,,,,,2854191.0,,,2020-05-27,2020-03-30,2020-03-12,2020-03-26,2020-03-18,1.0,,,,,,,
4,2.0,Andorra,AND,2020-10-27,,,97.0,329.0,,,2021-02-23,2020-03-31,13198.0,125.0,,100.28571428571429,0.007622749703636313,0.18518724282121654,13.0001444460494,,,,,,,,,77142.0,,,2020-08-18,2020-03-31,2020-03-22,2020-03-29,2020-03-03,0.0,,,,,,,
5,3.0,United Arab Emirates,ARE,2020-05-20,,,351.0,214.0,269.0,,2020-08-04,2020-01-03,518262.0,1584.0,,771.7142857142857,0.006133040901119784,0.003509094982033653,0.7898387955394081,,,,,,,,,9770529.0,2021-04-30,2020-08-04,2020-04-03,2020-04-05,2020-03-21,2020-03-31,2020-03-06,1.0,,,,,,,
6,1.0,Argentina,ARG,,,,,,,,2021-04-30,2020-03-28,2928890.0,62947.0,,,,,,,,,,,,,,44938712.0,,,2020-04-02,2020-03-28,2020-03-07,2020-03-26,2020-03-23,1.0,,,,,,,
7,5.0,Armenia,ARM,2020-06-23,2020-10-27,,856.0,236.0,247.0,91.0,2020-08-26,2020-01-03,216064.0,4108.0,,502.42857142857144,0.021646846099727078,0.03815666227156657,1.6986959646721471,1959.4285714285713,0.018023086912937785,0.058442482719741194,6.624769363503887,,,,,2957731.0,2021-01-29,2020-08-26,2020-04-14,2020-04-10,2020-03-27,2020-04-04,2020-03-16,1.0,,2021-04-30,2021-01-29,2213.0,445882.5,,
8,0.0,American Samoa,ASM,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,55312.0,,,,,,,,0.0,,,,,,,
9,0.0,Antigua and Barbuda,ATG,,,,,,,,,,1224.0,32.0,,,,,,,,,,,,,,97118.0,,,2021-03-19,2021-02-18,2020-04-09,2020-12-15,2020-03-13,0.0,,,,,,,
