"countrycode","class"
"ABW",1
"AFG",2
"AGO",1
"AIA",0
"ALB",1
"AND",0
"ARE",2
"ARG",1
"ARM",2
"ATG",0
"AUS",4
"AUT",3
"AZE",2
"BDI",0
"BEL",3
"BEN",0
"BES",0
"BFA",3
"BGD",2
"BGR",4
"BHR",2
"BHS",1
"BIH",4
"BLR",2
"BLZ",1
"BMU",0
"BOL",2
"BRA",1
"BRB",0
"BRN",0
"BTN",0
"BWA",1
"CAF",2
"CAN",2
"CHE",3
"CHL",2
"CHN",2
"CIV",2
"CMR",2
"COD",2
"COG",2
"COL",1
"COM",0
"CPV",1
"CRI",1
"CUB",3
"CUW",0
"CYM",0
"CYP",3
"CZE",3
"DEU",3
"DJI",2
"DMA",0
"DNK",3
"DOM",2
"DZA",4
"ECU",3
"EGY",2
"ERI",2
"ESH",2
"ESP",3
"EST",2
"ETH",1
"FIN",2
"FJI",0
"FLK",0
"FRA",3
"FRO",0
"GAB",0
"GBR",3
"GEO",3
"GGY",2
"GHA",2
"GIB",0
"GIN",0
"GMB",1
"GNB",2
"GNQ",0
"GRC",3
"GRD",0
"GRL",0
"GTM",1
"GUM",1
"GUY",1
"HND",2
"HRV",3
"HTI",2
"HUN",3
"IDN",1
"IMN",2
"IND",1
"IRL",3
"IRN",3
"IRQ",1
"ISL",3
"ISR",4
"ITA",2
"JAM",3
"JEY",2
"JOR",0
"JPN",4
"KAZ",0
"KEN",2
"KGZ",2
"KHM",0
"KNA",0
"KOR",3
"KWT",2
"LAO",0
"LBN",1
"LBR",2
"LBY",1
"LCA",0
"LIE",0
"LKA",0
"LSO",1
"LTU",3
"LUX",4
"LVA",2
"MAR",1
"MCO",0
"MDA",1
"MDG",2
"MDV",3
"MEX",2
"MKD",4
"MLI",2
"MLT",3
"MMR",0
"MNE",4
"MNG",0
"MNP",0
"MOZ",1
"MRT",2
"MSR",0
"MUS",2
"MWI",2
"MYS",2
"NAM",1
"NCL",0
"NER",2
"NGA",2
"NIC",2
"NLD",3
"NOR",3
"NPL",3
"NZL",3
"OMN",2
"PAK",2
"PAN",1
"PER",3
"PHL",1
"PNG",1
"POL",3
"PRI",1
"PRT",2
"PRY",1
"PSE",1
"PYF",0
"QAT",2
"ROU",3
"RUS",2
"RWA",1
"SAU",2
"SDN",2
"SEN",1
"SGP",4
"SLE",2
"SLV",2
"SMR",2
"SOM",2
"SRB",4
"SSD",2
"STP",4
"SUR",1
"SVK",3
"SVN",3
"SWE",2
"SWZ",1
"SXM",1
"SYC",2
"SYR",1
"TCA",1
"TCD",2
"TGO",1
"THA",2
"TJK",2
"TLS",0
"TTO",1
"TUN",3
"TUR",2
"TWN",2
"TZA",2
"UGA",0
"UKR",1
"URY",0
"USA",4
"UZB",2
"VAT",0
"VCT",0
"VEN",1
"VGB",0
"VIR",1
"VNM",4
"XKO",4
"YEM",2
"ZAF",2
"ZMB",2
"ZWE",2
