"COUNTRYCODE","CLASS","t","stringency_index"
"ABW",1,-156,0
"ABW",1,-155,0
"ABW",1,-154,0
"ABW",1,-153,11.11
"ABW",1,-152,22.22
"ABW",1,-151,33.33
"ABW",1,-150,33.33
"ABW",1,-149,33.33
"ABW",1,-148,44.44
"ABW",1,-147,44.44
"ABW",1,-146,44.44
"ABW",1,-145,44.44
"ABW",1,-144,44.44
"ABW",1,-143,44.44
"ABW",1,-142,44.44
"ABW",1,-141,44.44
"ABW",1,-140,85.19
"ABW",1,-139,85.19
"ABW",1,-138,85.19
"ABW",1,-137,85.19
"ABW",1,-136,85.19
"ABW",1,-135,85.19
"ABW",1,-134,85.19
"ABW",1,-133,85.19
"ABW",1,-132,85.19
"ABW",1,-131,85.19
"ABW",1,-130,85.19
"ABW",1,-129,85.19
"ABW",1,-128,88.89
"ABW",1,-127,85.19
"ABW",1,-126,88.89
"ABW",1,-125,88.89
"ABW",1,-124,85.19
"ABW",1,-123,85.19
"ABW",1,-122,85.19
"ABW",1,-121,85.19
"ABW",1,-120,85.19
"ABW",1,-119,85.19
"ABW",1,-118,85.19
"ABW",1,-117,85.19
"ABW",1,-116,85.19
"ABW",1,-115,85.19
"ABW",1,-114,85.19
"ABW",1,-113,85.19
"ABW",1,-112,85.19
"ABW",1,-111,85.19
"ABW",1,-110,85.19
"ABW",1,-109,85.19
"ABW",1,-108,85.19
"ABW",1,-107,85.19
"ABW",1,-106,85.19
"ABW",1,-105,85.19
"ABW",1,-104,81.48
"ABW",1,-103,81.48
"ABW",1,-102,81.48
"ABW",1,-101,81.48
"ABW",1,-100,81.48
"ABW",1,-99,81.48
"ABW",1,-98,81.48
"ABW",1,-97,81.48
"ABW",1,-96,81.48
"ABW",1,-95,81.48
"ABW",1,-94,81.48
"ABW",1,-93,81.48
"ABW",1,-92,81.48
"ABW",1,-91,81.48
"ABW",1,-90,48.15
"ABW",1,-89,48.15
"ABW",1,-88,48.15
"ABW",1,-87,48.15
"ABW",1,-86,48.15
"ABW",1,-85,48.15
"ABW",1,-84,48.15
"ABW",1,-83,48.15
"ABW",1,-82,48.15
"ABW",1,-81,48.15
"ABW",1,-80,44.44
"ABW",1,-79,44.44
"ABW",1,-78,44.44
"ABW",1,-77,38.89
"ABW",1,-76,38.89
"ABW",1,-75,38.89
"ABW",1,-74,38.89
"ABW",1,-73,38.89
"ABW",1,-72,38.89
"ABW",1,-71,38.89
"ABW",1,-70,38.89
"ABW",1,-69,38.89
"ABW",1,-68,38.89
"ABW",1,-67,32.41
"ABW",1,-66,32.41
"ABW",1,-65,32.41
"ABW",1,-64,32.41
"ABW",1,-63,32.41
"ABW",1,-62,32.41
"ABW",1,-61,32.41
"ABW",1,-60,32.41
"ABW",1,-59,32.41
"ABW",1,-58,32.41
"ABW",1,-57,32.41
"ABW",1,-56,32.41
"ABW",1,-55,32.41
"ABW",1,-54,32.41
"ABW",1,-53,32.41
"ABW",1,-52,32.41
"ABW",1,-51,32.41
"ABW",1,-50,32.41
"ABW",1,-49,32.41
"ABW",1,-48,32.41
"ABW",1,-47,32.41
"ABW",1,-46,32.41
"ABW",1,-45,32.41
"ABW",1,-44,32.41
"ABW",1,-43,32.41
"ABW",1,-42,32.41
"ABW",1,-41,32.41
"ABW",1,-40,32.41
"ABW",1,-39,32.41
"ABW",1,-38,32.41
"ABW",1,-37,32.41
"ABW",1,-36,32.41
"ABW",1,-35,32.41
"ABW",1,-34,32.41
"ABW",1,-33,32.41
"ABW",1,-32,32.41
"ABW",1,-31,32.41
"ABW",1,-30,32.41
"ABW",1,-29,32.41
"ABW",1,-28,32.41
"ABW",1,-27,32.41
"ABW",1,-26,32.41
"ABW",1,-25,32.41
"ABW",1,-24,32.41
"ABW",1,-23,32.41
"ABW",1,-22,32.41
"ABW",1,-21,32.41
"ABW",1,-20,32.41
"ABW",1,-19,32.41
"ABW",1,-18,32.41
"ABW",1,-17,32.41
"ABW",1,-16,32.41
"ABW",1,-15,32.41
"ABW",1,-14,32.41
"ABW",1,-13,32.41
"ABW",1,-12,43.52
"ABW",1,-11,43.52
"ABW",1,-10,43.52
"ABW",1,-9,47.22
"ABW",1,-8,47.22
"ABW",1,-7,47.22
"ABW",1,-6,47.22
"ABW",1,-5,47.22
"ABW",1,-4,47.22
"AFG",2,-111,0
"AFG",2,-110,0
"AFG",2,-109,0
"AFG",2,-108,0
"AFG",2,-107,0
"AFG",2,-106,0
"AFG",2,-105,0
"AFG",2,-104,0
"AFG",2,-103,0
"AFG",2,-102,0
"AFG",2,-101,0
