,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
20930,Costa Rica,CRI,2020-01-03,0.0,,0.0,
20931,Costa Rica,CRI,2020-01-04,0.0,,0.0,
20932,Costa Rica,CRI,2020-01-05,0.0,,0.0,
20933,Costa Rica,CRI,2020-01-06,0.0,,0.0,
20934,Costa Rica,CRI,2020-01-07,0.0,,0.0,
20935,Costa Rica,CRI,2020-01-08,0.0,,0.0,
20936,Costa Rica,CRI,2020-01-09,0.0,0.0,0.0,0.0
20937,Costa Rica,CRI,2020-01-10,0.0,0.0,0.0,0.0
20938,Costa Rica,CRI,2020-01-11,0.0,0.0,0.0,0.0
20939,Costa Rica,CRI,2020-01-12,0.0,0.0,0.0,0.0
20940,Costa Rica,CRI,2020-01-13,0.0,0.0,0.0,0.0
20941,Costa Rica,CRI,2020-01-14,0.0,0.0,0.0,0.0
20942,Costa Rica,CRI,2020-01-15,0.0,0.0,0.0,0.0
20943,Costa Rica,CRI,2020-01-16,0.0,0.0,0.0,0.0
20944,Costa Rica,CRI,2020-01-17,0.0,0.0,0.0,0.0
20945,Costa Rica,CRI,2020-01-18,0.0,0.0,0.0,0.0
20946,Costa Rica,CRI,2020-01-19,0.0,0.0,0.0,0.0
20947,Costa Rica,CRI,2020-01-20,0.0,0.0,0.0,0.0
20948,Costa Rica,CRI,2020-01-21,0.0,0.0,0.0,0.0
20949,Costa Rica,CRI,2020-01-22,0.0,0.0,0.0,0.0
20950,Costa Rica,CRI,2020-01-23,0.0,0.0,0.0,0.0
20951,Costa Rica,CRI,2020-01-24,0.0,0.0,0.0,0.0
20952,Costa Rica,CRI,2020-01-25,0.0,0.0,0.0,0.0
20953,Costa Rica,CRI,2020-01-26,0.0,0.0,0.0,0.0
20954,Costa Rica,CRI,2020-01-27,0.0,0.0,0.0,0.0
20955,Costa Rica,CRI,2020-01-28,0.0,0.0,0.0,0.0
20956,Costa Rica,CRI,2020-01-29,0.0,0.0,0.0,0.0
20957,Costa Rica,CRI,2020-01-30,0.0,0.0,0.0,0.0
20958,Costa Rica,CRI,2020-01-31,0.0,0.0,0.0,0.0
20959,Costa Rica,CRI,2020-02-01,0.0,0.0,0.0,0.0
20960,Costa Rica,CRI,2020-02-02,0.0,0.0,0.0,0.0
20961,Costa Rica,CRI,2020-02-03,0.0,0.0,0.0,0.0
20962,Costa Rica,CRI,2020-02-04,0.0,0.0,0.0,0.0
20963,Costa Rica,CRI,2020-02-05,0.0,0.0,0.0,0.0
20964,Costa Rica,CRI,2020-02-06,0.0,0.0,0.0,0.0
20965,Costa Rica,CRI,2020-02-07,0.0,0.0,0.0,0.0
20966,Costa Rica,CRI,2020-02-08,0.0,0.0,0.0,0.0
20967,Costa Rica,CRI,2020-02-09,0.0,0.0,0.0,0.0
20968,Costa Rica,CRI,2020-02-10,0.0,0.0,0.0,0.0
20969,Costa Rica,CRI,2020-02-11,0.0,0.0,0.0,0.0
20970,Costa Rica,CRI,2020-02-12,0.0,0.0,0.0,0.0
20971,Costa Rica,CRI,2020-02-13,0.0,0.0,0.0,0.0
20972,Costa Rica,CRI,2020-02-14,0.0,0.0,0.0,0.0
20973,Costa Rica,CRI,2020-02-15,0.0,0.0,0.0,0.0
20974,Costa Rica,CRI,2020-02-16,0.0,0.0,0.0,0.0
20975,Costa Rica,CRI,2020-02-17,0.0,0.0,0.0,0.0
20976,Costa Rica,CRI,2020-02-18,0.0,0.0,0.0,0.0
20977,Costa Rica,CRI,2020-02-19,0.0,0.0,0.0,0.0
20978,Costa Rica,CRI,2020-02-20,0.0,0.0,0.0,0.0
20979,Costa Rica,CRI,2020-02-21,0.0,0.0,0.0,0.0
20980,Costa Rica,CRI,2020-02-22,0.0,0.0,0.0,0.0
20981,Costa Rica,CRI,2020-02-23,0.0,0.0,0.0,0.0
20982,Costa Rica,CRI,2020-02-24,0.0,0.0,0.0,0.0
20983,Costa Rica,CRI,2020-02-25,0.0,0.0,0.0,0.0
20984,Costa Rica,CRI,2020-02-26,0.0,0.0,0.0,0.0
20985,Costa Rica,CRI,2020-02-27,0.0,0.0,0.0,0.0
20986,Costa Rica,CRI,2020-02-28,0.0,0.0,0.0,0.0
20987,Costa Rica,CRI,2020-02-29,0.0,0.0,0.0,0.0
20988,Costa Rica,CRI,2020-03-01,0.0,0.0,0.0,0.0
20989,Costa Rica,CRI,2020-03-02,0.0,0.0,0.0,0.0
20990,Costa Rica,CRI,2020-03-03,0.0,0.0,0.0,0.0
20991,Costa Rica,CRI,2020-03-04,0.0,0.0,0.0,0.0
20992,Costa Rica,CRI,2020-03-05,0.0,0.0,0.0,0.0
