,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,GOV_MAX_SI_DAYS_FROM_T0_POP,CLASS
0,ABW,Aruba,-128,EPI_FIRST_WAVE,106314.0,2449.0,230.35536241699117,28,1
1,AFG,Afghanistan,-9,EPI_FIRST_WAVE,38041754.0,38398.0,10.093646050074348,10,2
2,AGO,Angola,-125,EPI_FIRST_WAVE,31825295.0,2935.0,0.9222224020232962,-85,1
4,ALB,Albania,-38,EPI_FIRST_WAVE,2854191.0,10255.0,35.92962068761341,36,1
6,ARE,United Arab Emirates,1,EPI_FIRST_WAVE,9770529.0,73984.0,75.72159091897686,26,2
7,ARG,Argentina,-10,EPI_FIRST_WAVE,44938712.0,471793.0,104.985874984579,1,1
10,AUS,Australia,134,EPI_SECOND_WAVE,25364307.0,26279.0,10.360622113586624,143,4
11,AUT,Austria,-1,EPI_SECOND_WAVE,8877067.0,29308.0,33.01540925623294,9,3
12,AZE,Azerbaijan,70,EPI_FIRST_WAVE,10023318.0,37329.0,37.24215873426344,91,2
14,BEL,Belgium,7,EPI_SECOND_WAVE,11484055.0,88273.0,76.86570640771052,16,3
17,BFA,Burkina Faso,-64,EPI_SECOND_WAVE,20321378.0,1452.0,0.7145184740916684,39,3
18,BGD,Bangladesh,-4,EPI_FIRST_WAVE,163046161.0,325157.0,19.942634527899127,-4,2
19,BGR,Bulgaria,-33,EPI_SECOND_WAVE,6975761.0,17050.0,24.441777750126473,6,4
20,BHR,Bahrain,-15,EPI_FIRST_WAVE,1641172.0,54771.0,333.73101661495565,31,2
22,BIH,Bosnia and Herzegovina,-3,EPI_SECOND_WAVE,3301000.0,21142.0,64.04725840654348,25,4
23,BLR,Belarus,-5,EPI_FIRST_WAVE,9466856.0,72859.0,76.96219315050318,15,2
24,BLZ,Belize,-109,EPI_FIRST_WAVE,390353.0,1261.0,32.30409398672484,50,1
26,BOL,Bolivia,-28,EPI_FIRST_WAVE,11513100.0,120769.0,104.89703033935257,4,2
27,BRA,Brazil,44,EPI_FIRST_WAVE,211049527.0,4137521.0,196.0450259620814,44,1
31,BWA,Botswana,-131,EPI_FIRST_WAVE,2303697.0,2002.0,8.690378986472613,-8,1
32,CAF,Central African Republic,-24,EPI_FIRST_WAVE,4745185.0,4729.0,9.96589174078566,10,2
33,CAN,Canada,10,EPI_FIRST_WAVE,37589262.0,131895.0,35.08847819358624,17,2
34,CHE,Switzerland,3,EPI_SECOND_WAVE,8574832.0,44293.0,51.6546563244621,12,3
