,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
0,3.0,Aruba,ABW,41.0,106314.0,6702.844999999998,2020-09-01,,1.0,2020-11-19,2020-07-15,EPI_SECOND_WAVE,23916.425,7.995184077355757,,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
1,3.0,Aruba,ABW,41.0,106314.0,5927.31,2021-01-26,,2.0,2021-04-01,2020-11-19,EPI_SECOND_WAVE,23916.425,7.995184077355757,,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
2,4.0,Afghanistan,AFG,1462.0,38041754.0,13669.86,2020-04-07,,1.0,2020-10-02,2020-01-09,EPI_SECOND_WAVE,17338.695,0.654281082833352,,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,,133.0,133.0,,,,
3,4.0,Afghanistan,AFG,984.0,38041754.0,1950.4199999999996,2020-10-07,,2.0,2021-03-04,2020-10-02,EPI_SECOND_WAVE,17338.695,0.654281082833352,,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,,133.0,133.0,,,,
4,2.0,Angola,AGO,497.0,31825295.0,22073.005,2020-06-24,,1.0,2021-02-22,2020-04-19,EPI_FIRST_WAVE,29814.41,0.16873370694600004,,-89.0,-92.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,-96.0,119.0,,,,,
5,1.0,Albania,ALB,2225.0,2854191.0,23819.754999999997,2020-03-30,538077.0,1.0,2021-04-01,2020-03-30,EPI_FIRST_WAVE,28968.07,7.830590174238514,1879.989811473724,-17.0,-21.0,,-21.0,19.0,-17.0,-17.0,-17.0,-7.0,424.0,57.0,-18.0,9.0,105.0,290.0
6,2.0,Andorra,AND,98.0,77142.0,16647.755000000005,2020-03-31,,1.0,2021-03-01,2020-03-31,EPI_FIRST_WAVE,22138.229999999996,14.907573047107931,,393.0,-15.0,-17.0,98.0,174.0,,393.0,,,18.0,120.0,,,,
7,3.0,United Arab Emirates,ARE,357.0,9770529.0,10416.230000000003,2020-04-05,5559636.692307692,1.0,2020-08-10,2020-01-09,EPI_SECOND_WAVE,25597.95,1.5321585965304438,38482.10061092905,-13.0,-28.0,,-20.0,-9.0,-1.0,-13.0,-13.0,-11.0,8.0,-64.0,-56.0,-43.0,-19.0,19.0
8,3.0,United Arab Emirates,ARE,1140.0,9770529.0,11838.79,2020-08-20,,2.0,2021-04-01,2020-08-10,EPI_SECOND_WAVE,25597.95,1.5321585965304438,38482.10061092905,-13.0,-28.0,,-20.0,-9.0,-1.0,-13.0,-13.0,-11.0,8.0,-64.0,-56.0,-43.0,-19.0,19.0
9,1.0,Argentina,ARG,55724.0,44938712.0,31373.84,2020-03-28,7617602.0,1.0,2021-04-01,2020-03-28,EPI_FIRST_WAVE,37827.14,12.402669662628515,1686.3594132381897,-9.0,-12.0,-9.0,-17.0,-9.0,-5.0,-9.0,-8.0,-12.0,,-24.0,-1.0,24.0,94.0,282.0
10,5.0,Armenia,ARM,876.0,2957731.0,,2020-04-10,206871.95890410958,1.0,2020-09-01,2020-01-09,EPI_THIRD_WAVE,,11.944967273900161,2886.770297907416,,,,,,,,,,,,-25.0,-10.0,29.0,175.0
11,5.0,Armenia,ARM,2231.0,2957731.0,,2020-09-04,449394.0,2.0,2021-02-04,2020-09-01,EPI_THIRD_WAVE,,11.944967273900161,2886.770297907416,,,,,,,,,,,,-25.0,-10.0,29.0,175.0
12,5.0,Armenia,ARM,426.0,2957731.0,,2021-02-07,,3.0,2021-04-01,2021-02-04,EPI_THIRD_WAVE,,11.944967273900161,2886.770297907416,,,,,,,,,,,,-25.0,-10.0,29.0,175.0
13,4.0,Australia,AUS,102.0,25364307.0,6306.344999999998,2020-03-27,,1.0,2020-06-11,2020-02-17,EPI_SECOND_WAVE,28213.16,0.3583776209616135,6155.587061771488,-3.0,-3.0,128.0,-9.0,2.0,,6.0,-8.0,-7.0,31.0,-62.0,2.0,2.0,6.0,97.0
14,4.0,Australia,AUS,807.0,25364307.0,16873.625,2020-07-17,12529321.0,2.0,2021-02-25,2020-06-11,EPI_SECOND_WAVE,28213.16,0.3583776209616135,6155.587061771488,-3.0,-3.0,128.0,-9.0,2.0,,6.0,-8.0,-7.0,31.0,-62.0,2.0,2.0,6.0,97.0
15,4.0,Austria,AUT,677.0,8877067.0,6645.720000000002,2020-03-23,,1.0,2020-06-15,2020-01-09,EPI_SECOND_WAVE,28509.190000000002,10.235362648496402,26418.09620227041,-7.0,239.0,-7.0,-12.0,-7.0,,-7.0,-10.0,,67.0,7.0,10.0,10.0,10.0,130.0
16,4.0,Austria,AUT,7336.0,8877067.0,13785.204999999998,2020-06-18,10677781.0,2.0,2021-02-11,2020-06-15,EPI_SECOND_WAVE,28509.190000000002,10.235362648496402,26418.09620227041,-7.0,239.0,-7.0,-12.0,-7.0,,-7.0,-10.0,,67.0,7.0,10.0,10.0,10.0,130.0
17,5.0,Azerbaijan,AZE,593.0,10023318.0,17671.119999999995,2020-04-12,,1.0,2020-10-03,2020-01-09,EPI_THIRD_WAVE,35112.8,3.5587018190982267,,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
18,5.0,Azerbaijan,AZE,2577.0,10023318.0,9795.954999999998,2020-10-10,,2.0,2021-02-13,2020-10-03,EPI_THIRD_WAVE,35112.8,3.5587018190982267,,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
19,5.0,Azerbaijan,AZE,397.0,10023318.0,3234.65,2021-02-16,,3.0,2021-04-01,2021-02-13,EPI_THIRD_WAVE,35112.8,3.5587018190982267,,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
20,6.0,Belgium,BEL,9646.0,11484055.0,8185.985000000002,2020-03-15,1289367.1379310344,1.0,2020-07-01,2020-02-20,EPI_THIRD_WAVE,28026.535000000003,20.08523992614107,9787.587224199118,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
21,6.0,Belgium,BEL,254.0,11484055.0,3211.49,2020-07-05,972790.0,2.0,2020-08-28,2020-07-01,EPI_THIRD_WAVE,28026.535000000003,20.08523992614107,9787.587224199118,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
22,6.0,Belgium,BEL,9934.0,11484055.0,7261.325000000001,2020-08-30,4750544.0,3.0,2021-01-03,2020-08-28,EPI_THIRD_WAVE,28026.535000000003,20.08523992614107,9787.587224199118,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
23,4.0,Benin,BEN,21.0,11801151.0,6092.189999999999,2020-06-19,,1.0,2020-07-07,2020-03-16,EPI_SECOND_WAVE,19241.295,0.07880587241024202,,-81.0,-81.0,,-94.0,-81.0,-81.0,,-81.0,-33.0,,-104.0,,,,
24,4.0,Benin,BEN,69.0,11801151.0,10404.635000000002,2020-07-18,,2.0,2021-03-31,2020-07-07,EPI_SECOND_WAVE,19241.295,0.07880587241024202,,-81.0,-81.0,,-94.0,-81.0,-81.0,,-81.0,-33.0,,-104.0,,,,
25,2.0,Burkina Faso,BFA,146.0,20321378.0,14813.49,2020-03-30,,1.0,2021-04-01,2020-01-09,EPI_FIRST_WAVE,16449.71,0.07184552149957547,,-9.0,-14.0,,-18.0,,-7.0,-9.0,-9.0,-9.0,164.0,-21.0,,,,
26,3.0,Bangladesh,BGD,8266.0,163046161.0,27661.410000000003,2020-04-06,3832276.2,1.0,2021-02-13,2020-01-09,EPI_SECOND_WAVE,36358.31,0.5584308115049701,286.4306630316797,-18.0,-21.0,-18.0,-16.0,-18.0,-18.0,-18.0,-18.0,385.0,295.0,345.0,9.0,40.0,153.0,
27,3.0,Bangladesh,BGD,839.0,163046161.0,3813.7149999999997,2021-02-15,,2.0,2021-04-01,2021-02-13,EPI_SECOND_WAVE,36358.31,0.5584308115049701,286.4306630316797,-18.0,-21.0,-18.0,-16.0,-18.0,-18.0,-18.0,-18.0,385.0,295.0,345.0,9.0,40.0,153.0,
28,3.0,Bulgaria,BGR,8741.0,6975761.0,15923.32,2020-04-02,,1.0,2021-01-22,2020-01-09,EPI_SECOND_WAVE,22755.595,18.918366039203466,3008.167854374598,-15.0,-20.0,257.0,-20.0,-20.0,,-15.0,-15.0,42.0,,27.0,17.0,17.0,49.0,211.0
29,3.0,Bulgaria,BGR,4456.0,6975761.0,3762.7900000000004,2021-01-23,,2.0,2021-04-01,2021-01-22,EPI_SECOND_WAVE,22755.595,18.918366039203466,3008.167854374598,-15.0,-20.0,257.0,-20.0,-20.0,,-15.0,-15.0,42.0,,27.0,17.0,17.0,49.0,211.0
30,3.0,Bahrain,BHR,338.0,1641172.0,18163.525,2020-05-14,,1.0,2020-11-23,2020-01-09,EPI_SECOND_WAVE,28507.510000000002,3.174560618874804,21715.463095885134,-57.0,-78.0,-49.0,-57.0,-53.0,,126.0,,,-44.0,-81.0,-65.0,-65.0,-56.0,-7.0
31,3.0,Bahrain,BHR,183.0,1641172.0,7017.765000000001,2020-12-13,,2.0,2021-04-01,2020-11-23,EPI_SECOND_WAVE,28507.510000000002,3.174560618874804,21715.463095885134,-57.0,-78.0,-49.0,-57.0,-53.0,,126.0,,,-44.0,-81.0,-65.0,-65.0,-56.0,-7.0
32,2.0,Bahamas,BHS,164.0,389482.0,20495.48,2020-04-25,,1.0,2021-01-18,2020-04-25,EPI_FIRST_WAVE,33168.765,4.82692396567749,,-36.0,-40.0,-36.0,-36.0,-36.0,-36.0,-36.0,-32.0,-32.0,380.0,-42.0,,,,
