,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start
0,3.0,Aruba,ABW,41.0,106314.0,6702.844999999998,2020-09-01,,1.0,2020-11-19,2020-07-15
1,3.0,Aruba,ABW,41.0,106314.0,5927.31,2021-01-26,,2.0,2021-04-01,2020-11-19
2,4.0,Afghanistan,AFG,1462.0,38041754.0,13669.86,2020-04-07,,1.0,2020-10-02,2020-01-09
3,4.0,Afghanistan,AFG,984.0,38041754.0,1950.4199999999996,2020-10-07,,2.0,2021-03-04,2020-10-02
4,2.0,Angola,AGO,497.0,31825295.0,22073.005,2020-06-24,,1.0,2021-02-22,2020-04-19
5,1.0,Albania,ALB,2225.0,2854191.0,23819.754999999997,2020-03-30,535178.0,1.0,2021-04-01,2020-03-30
6,2.0,Andorra,AND,98.0,77142.0,16647.755000000005,2020-03-31,,1.0,2021-03-01,2020-03-31
7,3.0,United Arab Emirates,ARE,357.0,9770529.0,10416.230000000003,2020-04-05,5559636.692307692,1.0,2020-08-10,2020-01-09
8,3.0,United Arab Emirates,ARE,1140.0,9770529.0,11838.79,2020-08-20,,2.0,2021-04-01,2020-08-10
9,1.0,Argentina,ARG,55724.0,44938712.0,31373.84,2020-03-28,,1.0,2021-04-01,2020-03-28
10,5.0,Armenia,ARM,876.0,2957731.0,,2020-04-10,206871.95890410958,1.0,2020-09-01,2020-01-09
11,5.0,Armenia,ARM,2231.0,2957731.0,,2020-09-04,449394.0,2.0,2021-02-04,2020-09-01
12,5.0,Armenia,ARM,426.0,2957731.0,,2021-02-07,,3.0,2021-04-01,2021-02-04
13,4.0,Australia,AUS,102.0,25364307.0,6306.344999999998,2020-03-27,,1.0,2020-06-11,2020-02-17
14,4.0,Australia,AUS,807.0,25364307.0,16873.625,2020-07-17,12529321.0,2.0,2021-02-25,2020-06-11
15,4.0,Austria,AUT,677.0,8877067.0,6645.720000000002,2020-03-23,,1.0,2020-06-15,2020-01-09
16,4.0,Austria,AUT,7336.0,8877067.0,13785.204999999998,2020-06-18,10677781.0,2.0,2021-02-11,2020-06-15
17,5.0,Azerbaijan,AZE,593.0,10023318.0,17671.119999999995,2020-04-12,,1.0,2020-10-03,2020-01-09
18,5.0,Azerbaijan,AZE,2577.0,10023318.0,9795.954999999998,2020-10-10,,2.0,2021-02-13,2020-10-03
19,5.0,Azerbaijan,AZE,397.0,10023318.0,3234.65,2021-02-16,,3.0,2021-04-01,2021-02-13
20,6.0,Belgium,BEL,9646.0,11484055.0,8185.985000000002,2020-03-15,1289367.1379310344,1.0,2020-07-01,2020-02-20
21,6.0,Belgium,BEL,254.0,11484055.0,3211.49,2020-07-05,972790.0,2.0,2020-08-28,2020-07-01
22,6.0,Belgium,BEL,9929.0,11484055.0,7261.325000000001,2020-08-30,4750540.0,3.0,2021-01-03,2020-08-28
23,4.0,Benin,BEN,21.0,11801151.0,6092.189999999999,2020-06-19,,1.0,2020-07-07,2020-03-16
24,4.0,Benin,BEN,69.0,11801151.0,10404.635000000002,2020-07-18,,2.0,2021-03-31,2020-07-07
25,2.0,Burkina Faso,BFA,146.0,20321378.0,14813.49,2020-03-30,,1.0,2021-04-01,2020-01-09
26,3.0,Bangladesh,BGD,8349.0,163046161.0,28390.590000000004,2020-04-07,3955836.2,1.0,2021-02-22,2020-01-09
27,3.0,Bangladesh,BGD,697.0,163046161.0,3084.535,2021-02-24,,2.0,2021-04-01,2021-02-22
28,3.0,Bulgaria,BGR,8741.0,6975761.0,15923.32,2020-04-02,,1.0,2021-01-22,2020-01-09
29,3.0,Bulgaria,BGR,4456.0,6975761.0,3762.7900000000004,2021-01-23,,2.0,2021-04-01,2021-01-22
30,3.0,Bahrain,BHR,338.0,1641172.0,18163.525,2020-05-14,,1.0,2020-11-23,2020-01-09
31,3.0,Bahrain,BHR,183.0,1641172.0,7017.765000000001,2020-12-13,,2.0,2021-04-01,2020-11-23
32,2.0,Bahamas,BHS,164.0,389482.0,20495.48,2020-04-25,,1.0,2021-01-18,2020-04-25
33,3.0,Bosnia and Herzegovina,BIH,4791.0,3301000.0,19311.615000000005,2020-03-31,,1.0,2021-02-07,2020-01-09
34,3.0,Bosnia and Herzegovina,BIH,1808.0,3301000.0,2257.270000000001,2021-02-09,,2.0,2021-04-01,2021-02-07
35,3.0,Belarus,BLR,613.0,9466856.0,2466.095000000001,2020-04-07,,1.0,2020-08-18,2020-01-09
36,3.0,Belarus,BLR,1634.0,9466856.0,5172.555,2020-08-21,,2.0,2021-04-01,2020-08-18
37,2.0,Belize,BLZ,315.0,390353.0,17192.675000000003,2020-08-26,,1.0,2021-03-31,2020-08-02
38,4.0,Bolivia,BOL,8939.0,11513100.0,22881.76,2020-04-05,358588.25,1.0,2020-11-28,2020-01-09
39,4.0,Bolivia,BOL,3300.0,11513100.0,3959.1299999999997,2020-11-30,,2.0,2021-04-01,2020-11-28
40,1.0,Brazil,BRA,317635.0,211049527.0,26512.744999999995,2020-03-21,,1.0,2021-04-01,2020-03-21
41,2.0,Barbados,BRB,34.0,287025.0,13338.98,2021-01-26,,1.0,2021-03-29,2020-07-06
42,2.0,Central African Republic,CAF,62.0,4745185.0,13224.199999999999,2020-06-17,,1.0,2020-11-06,2020-03-22
43,4.0,Canada,CAN,8522.0,37589262.0,7726.29,2020-03-21,2894463.75,1.0,2020-06-30,2020-02-15
