,countrycode,country,class,last_confirmed,last_dead,si_integral,residential_integral,workplace_integral,transit_stations_integral,retail_recreation_integral,class_coarse,last_confirmed_per_10k,last_dead_per_10k
0,ABW,Aruba,2,4676.0,44.0,13370.919999999998,3668.0,-7752.0,-12697.5,-8724.0,EPI_FIRST_WAVE,439.829185243712,4.1386835223959215
1,AFG,Afghanistan,2,43851.0,1645.0,14178.779999999999,2196.5,-5896.5,-4090.5,-3586.5000000000005,EPI_FIRST_WAVE,11.527071017808485,0.4324195987387963
2,AGO,Angola,1,13615.0,322.0,18479.03,3391.0,-4280.5,-8542.5,-5401.0,EPI_FIRST_WAVE,4.278043612792906,0.10117738107376538
3,AIA,Anguilla,0,3.0,0.0,8987.465,,,,,EPI_OTHER,,
4,ALB,Albania,1,29126.0,637.0,17049.489999999998,,,,,EPI_FIRST_WAVE,102.04642926839864,2.231805790152096
5,AND,Andorra,1,5951.0,76.0,11017.92,,,,,EPI_FIRST_WAVE,771.4344974203417,9.851961318088719
6,ARE,United Arab Emirates,3,152809.0,538.0,14985.805,3965.5,-6719.5,-12411.5,-8497.5,EPI_SECOND_WAVE,156.39787774029432,0.5506354875974474
7,ARG,Argentina,1,1329005.0,36106.0,22506.434999999998,4376.5,-7163.5,-12789.0,-15188.0,EPI_FIRST_WAVE,295.7372254015647,8.03449818499471
8,ARM,Armenia,3,120459.0,1839.0,,,,,,EPI_SECOND_WAVE,407.26827422777797,6.217603967365524
9,ATG,Antigua and Barbuda,0,134.0,4.0,,3763.0,-8829.5,-12205.5,-7119.5,EPI_OTHER,13.79764822175086,0.4118700961716675
10,AUS,Australia,4,27756.0,907.0,17317.195,2509.5,-4782.0,-10704.5,-5248.0,EPI_SECOND_WAVE,10.942936465798178,0.35758911134453625
11,AUT,Austria,3,213462.0,1815.0,12980.24,1648.0,-7253.5,-7681.5,-7027.5,EPI_SECOND_WAVE,240.464558845844,2.044594233658482
12,AZE,Azerbaijan,3,79158.0,1005.0,20179.845,,,,,EPI_SECOND_WAVE,78.97384877941616,1.00266199276527
13,BDI,Burundi,0,631.0,1.0,3557.3350000000005,,,,,EPI_OTHER,0.5472404683892744,0.0008672590624235728
14,BEL,Belgium,4,540509.0,14839.0,15279.210000000003,3024.0,-8470.0,-9013.5,-8082.5,EPI_SECOND_WAVE,470.6604069729725,12.921394054626175
15,BEN,Benin,2,2844.0,43.0,12049.33,1256.5,-1546.5,-2063.5,-2127.5,EPI_FIRST_WAVE,2.40993442080353,0.03643712380258502
16,BES,"Bonaire, Sint Eustatius and Saba",0,157.0,3.0,,,,,,EPI_OTHER,,
17,BFA,Burkina Faso,0,2652.0,68.0,12446.279999999999,1179.5,-1094.0,-2425.0,280.5,EPI_OTHER,1.3050296097046175,0.03346229768473378
18,BGD,Bangladesh,1,436684.0,6254.0,19955.565000000002,3226.0,-4910.5,-7231.0,-8483.0,EPI_FIRST_WAVE,26.7828446448365,0.3835723553159893
19,BGR,Bulgaria,1,106598.0,2413.0,12366.054999999998,744.0,-5756.5,-4242.5,-4149.0,EPI_FIRST_WAVE,152.81200144328338,3.4591208041674593
20,BHR,Bahrain,2,85008.0,337.0,17909.635000000002,3422.5,-5195.5,-6660.0,-7706.0,EPI_FIRST_WAVE,517.9713034343749,2.053410611441092
21,BHS,Bahamas,2,7312.0,163.0,,4724.0,-10898.5,-16420.5,-11672.5,EPI_FIRST_WAVE,187.73653211188193,4.185045778752292
22,BIH,Bosnia and Herzegovina,1,73944.0,2042.0,15277.505000000001,678.0,-4752.0,-4651.0,-5051.0,EPI_FIRST_WAVE,224.00484701605575,6.186004241139049
23,BLR,Belarus,3,116699.0,1060.0,3824.6500000000005,-144.0,-4110.5,-2233.0,-2929.0,EPI_SECOND_WAVE,123.27112612677324,1.1196959159408362
24,BLZ,Belize,1,4920.0,96.0,17241.615,3256.0,-8494.5,-11944.5,-7578.5,EPI_FIRST_WAVE,126.03976400847438,2.4593124684580365
25,BMU,Bermuda,0,223.0,9.0,13603.96,,,,,EPI_OTHER,34.88845082762289,1.4080540692762602
26,BOL,Bolivia,2,143473.0,8866.0,21635.929999999997,6034.0,-10491.5,-14363.5,-14540.0,EPI_FIRST_WAVE,124.61717521779538,7.700793009701991
27,BRA,Brazil,1,5911758.0,166699.0,17828.324999999997,2954.0,-4056.5,-8133.5,-9388.0,EPI_FIRST_WAVE,280.11235485971974,7.898572546907437
28,BRB,Barbados,0,250.0,7.0,14402.09,3614.0,-8495.0,-12474.5,-8034.0,EPI_OTHER,8.710042679209128,0.2438811950178556
29,BRN,Brunei,0,148.0,3.0,12177.464999999998,,,,,EPI_OTHER,3.4157656046251312,0.06923849198564455
30,BTN,Bhutan,0,378.0,0.0,19757.09,,,,,EPI_OTHER,4.953531160069821,0.0
31,BWA,Botswana,0,9103.0,30.0,16315.949999999999,3561.0,-2997.5,-3314.5,-2440.0,EPI_OTHER,39.514745211718385,0.13022545933775145
32,CAF,Central African Republic,2,4900.0,63.0,13338.839999999998,,,,,EPI_FIRST_WAVE,10.326257037396855,0.13276616190938814
33,CAN,Canada,3,306468.0,11086.0,16182.884999999998,2936.0,-8757.5,-11887.5,-6068.5,EPI_SECOND_WAVE,81.53073077093134,2.9492465161992274
34,CHE,Switzerland,3,273487.0,3293.0,12918.265,2006.0,-6272.0,-6250.5,-7005.0,EPI_SECOND_WAVE,318.94152561822784,3.8403084748482534
35,CHL,Chile,2,533610.0,14883.0,19448.07,5462.0,-9138.0,-12756.5,-13715.0,EPI_FIRST_WAVE,281.5581100037896,7.852981299425423
36,CHN,China,1,92475.0,4749.0,21701.295,,,,,EPI_FIRST_WAVE,0.6616155654049646,0.03397688369946663
37,CIV,Côte d'Ivoire,2,21004.0,129.0,12534.189999999999,2325.0,-2656.0,-1715.0,-2071.5,EPI_FIRST_WAVE,8.167504933788926,0.05016226130540714
38,CMR,Cameroon,0,22896.0,433.0,13865.025000000001,1485.0,-2545.5,662.0,-2261.0,EPI_OTHER,8.848223746907411,0.16733407068531225
39,COD,Democratic Republic of the Congo,1,11866.0,322.0,14477.824999999997,,,,,EPI_FIRST_WAVE,1.367199271782612,0.037100806127928626
40,COG,Republic of Congo,0,5515.0,92.0,16538.565,,,,,EPI_OTHER,10.24996152779626,0.17098757217719962
41,COL,Colombia,1,1211128.0,34381.0,20272.149999999998,4925.0,-8678.0,-12366.5,-13191.5,EPI_FIRST_WAVE,240.5922528781258,6.829833218456549
42,COM,Comoros,0,591.0,7.0,,,,,,EPI_OTHER,6.945701304287531,0.08226718972929394
43,CPV,Cape Verde,1,9960.0,103.0,17631.8,3597.0,-9242.5,-15848.0,-10142.5,EPI_FIRST_WAVE,181.11231327338686,1.8729486212006874
44,CRI,Costa Rica,1,125590.0,1578.0,17369.2,4141.0,-7648.0,-12586.0,-11221.0,EPI_FIRST_WAVE,248.81323871073573,3.1262623671115612
45,CUB,Cuba,1,7667.0,131.0,19446.574999999997,,,,,EPI_FIRST_WAVE,6.764910663385651,0.11558670886963875
46,CUW,Curaçao,0,1415.0,2.0,,,,,,EPI_OTHER,89.81959908085668,0.12695349693407304
47,CYM,Cayman Islands,0,257.0,2.0,8981.365,,,,,EPI_OTHER,39.570117632567595,0.30793865861920305
48,CYP,Cyprus,1,7513.0,40.0,16173.12,,,,,EPI_FIRST_WAVE,62.68276912166531,0.33372963727760047
49,CZE,Czech Republic,3,469769.0,6558.0,13346.574999999997,1391.0,-5295.5,-4970.0,-5386.0,EPI_SECOND_WAVE,440.282860572861,6.146371939478387
50,DEU,Germany,3,833307.0,13119.0,15174.440000000002,1637.5,-5534.5,-6470.0,-5015.0,EPI_SECOND_WAVE,100.23805405613734,1.5780775046441056
51,DJI,Djibouti,4,5656.0,61.0,14895.0,,,,,EPI_SECOND_WAVE,58.09605982168536,0.6265664160401002
52,DMA,Dominica,0,68.0,0.0,11908.36,,,,,EPI_OTHER,9.469696969696969,0.0
53,DNK,Denmark,3,64551.0,768.0,14278.615,1399.5,-6238.0,-6564.0,-997.0,EPI_SECOND_WAVE,110.9399536276459,1.3199157934971117
54,DOM,Dominican Republic,2,134697.0,2290.0,20171.865,4184.5,-9645.5,-12894.5,-10860.0,EPI_FIRST_WAVE,125.42837023852779,2.1324229036001445
55,DZA,Algeria,3,69591.0,2186.0,18691.23,,,,,EPI_SECOND_WAVE,16.164010107157555,0.507745629380903
56,ECU,Ecuador,3,181104.0,13025.0,17846.22,5509.5,-10511.0,-12134.0,-11121.0,EPI_SECOND_WAVE,104.24054525752832,7.4969801991082825
57,EGY,Egypt,2,111284.0,6481.0,16635.835,2333.5,-5844.0,-7148.5,-9018.0,EPI_FIRST_WAVE,11.08538063082454,0.6455946215841796
58,ERI,Eritrea,0,493.0,0.0,21746.904999999995,,,,,EPI_OTHER,1.533927489100714,0.0
59,ESH,Western Sahara,0,766.0,1.0,,,,,,EPI_OTHER,,
60,ESP,Spain,3,1510023.0,41688.0,17240.46,2829.0,-8646.0,-10754.0,-10384.0,EPI_SECOND_WAVE,320.75748764555505,8.855320842773851
61,EST,Estonia,3,8033.0,84.0,9840.385000000002,1016.5,-6340.5,-3403.5,-2497.0,EPI_SECOND_WAVE,60.55375059362727,0.6332024212454489
62,ETH,Ethiopia,2,103395.0,1588.0,17966.655,,,,,EPI_FIRST_WAVE,9.225211599025078,0.14168611653611707
63,FIN,Finland,3,19647.0,371.0,11506.699999999997,1265.5,-7179.0,-8954.0,-4251.0,EPI_SECOND_WAVE,35.59036677986071,0.6720632195922188
64,FJI,Fiji,0,35.0,2.0,15945.795000000002,2277.5,-2210.0,-6094.5,-2448.0,EPI_OTHER,0.39327919564291597,0.02247309689388091
65,FLK,Falkland Islands,0,16.0,0.0,7849.389999999999,,,,,EPI_OTHER,,
66,FRA,France,3,2036755.0,46273.0,16551.11,2808.0,-8570.0,-8765.5,-8374.0,EPI_SECOND_WAVE,303.72180615216365,6.900250219628315
67,FRO,Faroe Islands,0,498.0,0.0,,,,,,EPI_OTHER,102.3049426845803,0.0
68,GAB,Gabon,2,9084.0,58.0,17599.010000000002,3488.0,-4089.0,-4666.5,-4473.0,EPI_FIRST_WAVE,41.81205838775023,0.2669638250208623
69,GBR,United Kingdom,3,1410732.0,52745.0,17609.685,3530.0,-10242.0,-11736.0,-10695.5,EPI_SECOND_WAVE,211.0787101343986,7.891893404302769
70,GEO,Georgia,1,85952.0,778.0,18431.545000000002,1882.5,-10032.0,-7494.0,-10058.0,EPI_FIRST_WAVE,231.0300393884284,2.091183109691424
71,GGY,Guernsey,0,282.0,13.0,,,,,,EPI_OTHER,,
72,GHA,Ghana,2,50457.0,323.0,13221.355,2901.5,-3386.0,-5093.5,-4361.5,EPI_FIRST_WAVE,16.587954127996397,0.10618762874017157
73,GIB,Gibraltar,0,915.0,1.0,10537.119999999997,,,,,EPI_OTHER,271.50529657873653,0.29672710008605085
74,GIN,Guinea,2,12654.0,75.0,15931.375,,,,,EPI_FIRST_WAVE,9.908195331919845,0.05872567171597822
75,GMB,Gambia,2,3705.0,122.0,16942.07,,,,,EPI_FIRST_WAVE,15.781362743035116,0.5196562090823978
76,GNB,Guinea-Bissau,2,2421.0,43.0,,,-4716.5,,-12229.5,EPI_FIRST_WAVE,12.603322779373656,0.22385083829536026
77,GNQ,Equatorial Guinea,0,5121.0,85.0,,,,,,EPI_OTHER,37.765876638844354,0.6268501297211033
78,GRC,Greece,3,78825.0,1228.0,15698.22,1443.0,-5720.0,-6089.0,-5085.5,EPI_SECOND_WAVE,73.55602043312994,1.1459155482636674
79,GRD,Grenada,0,33.0,0.0,,,,,,EPI_OTHER,2.9463496513486245,0.0
80,GRL,Greenland,0,18.0,0.0,10802.42,,,,,EPI_OTHER,3.2014228546020456,0.0
81,GTM,Guatemala,2,115730.0,3947.0,21161.509999999995,4910.5,-9194.5,-14362.0,-11339.5,EPI_FIRST_WAVE,69.69996312942415,2.377134316701263
82,GUM,Guam,1,6234.0,100.0,16658.57,,,,,EPI_FIRST_WAVE,372.6373928533002,5.977500687412579
83,GUY,Guyana,2,4890.0,140.0,19519.7,,,,,EPI_FIRST_WAVE,62.47077670721518,1.7885293944805982
84,HND,Honduras,1,103488.0,2839.0,23088.37,4368.0,-10530.0,-15226.5,-14437.0,EPI_FIRST_WAVE,106.18382685124753,2.9129549747863686
85,HRV,Croatia,3,87464.0,1113.0,12238.76,1202.0,-5911.5,-6252.0,-3378.0,EPI_SECOND_WAVE,215.03134603564843,2.7363245236631837
86,HTI,Haiti,2,9191.0,232.0,14742.89,2185.5,-6886.5,-7953.0,-5235.0,EPI_FIRST_WAVE,8.160292254061657,0.20598278782964904
87,HUN,Hungary,3,156949.0,3380.0,13821.955000000002,1543.0,-5933.0,-5640.5,-3503.0,EPI_SECOND_WAVE,160.64464614912524,3.4595881718522787
88,IDN,Indonesia,1,474455.0,15393.0,16502.06,3045.0,-5756.0,-9860.5,-5791.0,EPI_FIRST_WAVE,17.53178768385994,0.5687932634657786
89,IMN,Isle of Man,0,364.0,25.0,,,,,,EPI_OTHER,43.03414357325263,2.9556417289321857
90,IND,India,1,8912907.0,130993.0,19763.765,4090.0,-8414.0,-9850.5,-13572.0,EPI_FIRST_WAVE,65.22827278779634,0.9586599677626847
91,IRL,Ireland,3,68686.0,1995.0,17078.489999999998,3766.5,-9843.5,-11344.0,-10530.0,EPI_SECOND_WAVE,138.99985510308323,4.037281410049371
92,IRN,Iran,1,788473.0,42461.0,13883.360000000002,,,,,EPI_FIRST_WAVE,95.09538725627037,5.121095127275755
93,IRQ,Iraq,1,524503.0,11752.0,21261.955,2775.0,-5641.0,-5517.0,-6149.5,EPI_FIRST_WAVE,133.4281087229609,2.9895865871353196
94,ISL,Iceland,4,5215.0,25.0,11928.010000000002,,,,,EPI_SECOND_WAVE,144.3346904207709,0.6919208553248846
95,ISR,Israel,4,325862.0,2735.0,17398.55,3292.5,-8260.0,-7381.0,-9564.0,EPI_SECOND_WAVE,359.937260446467,3.0209978681806633
96,ITA,Italy,3,1238072.0,46464.0,17159.485,2631.0,-8327.5,-9793.0,-8280.0,EPI_SECOND_WAVE,205.32760651886196,7.705805404929924
97,JAM,Jamaica,2,9929.0,231.0,19243.614999999998,3682.5,-7489.0,-7396.5,-8002.5,EPI_FIRST_WAVE,33.677274097872015,0.7835079380207911
98,JEY,Jersey,0,775.0,32.0,,,,,,EPI_OTHER,,
99,JOR,Jordan,1,155993.0,1909.0,17225.579999999998,2702.0,-7900.5,-9141.0,-6991.5,EPI_FIRST_WAVE,154.42261466245165,1.8897820504164946
100,JPN,Japan,3,120815.0,1913.0,10175.064999999999,1974.5,-3994.5,-7106.5,-3695.0,EPI_SECOND_WAVE,9.568373343505806,0.15150683446696692
101,KAZ,Kazakhstan,3,165143.0,2320.0,20227.359999999997,1350.5,-7107.0,999.5,-6015.5,EPI_SECOND_WAVE,89.19932180795757,1.2531104957186292
102,KEN,Kenya,3,71729.0,1302.0,19445.370000000003,3811.0,-3115.0,-9125.5,-2833.5,EPI_SECOND_WAVE,13.643442925646879,0.24765105730168044
103,KGZ,Kyrgyzstan,3,67894.0,1212.0,19420.369999999995,1092.0,-7954.5,-6747.5,-7660.0,EPI_SECOND_WAVE,105.14952996019761,1.877061747897598
104,KHM,Cambodia,0,304.0,0.0,10984.929999999997,2078.5,-5055.5,-11326.0,-5077.0,EPI_OTHER,0.1843928217330232,0.0
105,KNA,Saint Kitts and Nevis,0,19.0,0.0,,,,,,EPI_OTHER,3.5969180092005377,0.0
106,KOR,South Korea,4,29311.0,496.0,14881.97,1347.5,-2295.0,-2742.0,-3824.5,EPI_SECOND_WAVE,5.668441557421868,0.09592122453963517
107,KWT,Kuwait,1,137885.0,848.0,19440.809999999998,5083.5,-9963.0,-10227.5,-11332.0,EPI_FIRST_WAVE,327.7449006829673,2.015648372043052
108,LAO,Laos,0,24.0,0.0,10710.425,1463.0,-2082.5,-7609.5,-4243.5,EPI_OTHER,0.0334753478472213,0.0
109,LBN,Lebanon,1,107953.0,839.0,17018.57,1376.0,-7576.5,-11899.0,-7293.5,EPI_FIRST_WAVE,157.46429291891303,1.2237968538064532
110,LBR,Liberia,0,1512.0,82.0,17195.574999999997,,,,,EPI_OTHER,3.062356629252716,0.1660801875652928
111,LBY,Libya,1,74936.0,1041.0,21988.935,857.0,-3493.0,-6982.5,-2127.0,EPI_FIRST_WAVE,110.56662592372473,1.5359754668863757
112,LCA,Saint Lucia,0,178.0,2.0,,,,,,EPI_OTHER,9.737950653755675,0.10941517588489523
113,LIE,Liechtenstein,0,1002.0,8.0,,,-6626.0,-6023.5,-8808.0,EPI_OTHER,263.5524343091612,2.1042110523685524
114,LKA,Sri Lanka,1,18075.0,66.0,14432.545,4572.0,-7492.5,-7725.5,-9198.5,EPI_FIRST_WAVE,8.290143558225932,0.03027106361509884
115,LSO,Lesotho,0,2041.0,44.0,16080.474999999999,,,,,EPI_OTHER,9.603494712196298,0.20703271305077758
116,LTU,Lithuania,3,36876.0,299.0,13270.93,914.0,-5857.0,-5252.0,-6954.5,EPI_SECOND_WAVE,132.32172306738374,1.0728982318350075
117,LUX,Luxembourg,5,27256.0,236.0,12149.36,3287.0,-9191.5,-7703.5,-8586.0,EPI_THIRD_WAVE,439.6866571166776,3.807090221585556
118,LVA,Latvia,1,10914.0,132.0,12895.285,733.5,-5439.0,-3802.5,-2058.5,EPI_FIRST_WAVE,57.058044562155054,0.6900917978930242
119,MAR,Morocco,1,301604.0,4932.0,18406.85,4583.5,-10973.0,-12566.5,-14402.0,EPI_FIRST_WAVE,82.69519364415804,1.352278799528479
120,MCO,Monaco,0,557.0,2.0,60.18999999999999,,,,,EPI_OTHER,142.95246894569345,0.513294322964788
121,MDA,Moldova,1,90912.0,2054.0,16149.024999999998,1003.0,-6299.0,-6892.0,-5183.0,EPI_FIRST_WAVE,342.0783199511446,7.728670243528367
122,MDG,Madagascar,2,17233.0,249.0,16064.170000000002,,,,,EPI_FIRST_WAVE,6.389856439396088,0.09232717770612349
123,MDV,Maldives,2,12355.0,45.0,,,,,,EPI_FIRST_WAVE,232.69479596122443,0.8475326441323432
124,MEX,Mexico,1,1011153.0,99026.0,17761.479999999996,3480.5,-7109.5,-10785.5,-9843.0,EPI_FIRST_WAVE,79.25916576054331,7.762146923960628
125,MHL,Marshall Islands,0,4.0,0.0,,,,,,EPI_OTHER,0.68037624806518,0.0
126,MKD,Macedonia,1,48613.0,1376.0,,1675.0,-6898.5,-8808.5,-6581.0,EPI_FIRST_WAVE,233.32832563539768,6.604401622494131
127,MLI,Mali,0,3980.0,141.0,11981.69,1914.0,-2229.5,-8705.5,-3268.5,EPI_OTHER,2.0246178266785724,0.07172641044263284
128,MLT,Malta,1,8247.0,101.0,,2745.5,-7162.5,-5631.5,-6114.5,EPI_FIRST_WAVE,164.06944751150397,2.009338450183327
129,MMR,Myanmar,1,71730.0,1625.0,18786.355,5165.0,-8325.0,-9045.0,-10348.5,EPI_FIRST_WAVE,13.272169963708302,0.30067302650252326
130,MNE,Montenegro,3,28392.0,405.0,,,,,,EPI_SECOND_WAVE,456.362505364574,6.509820184300242
131,MNG,Mongolia,0,455.0,0.0,17403.149999999998,-606.5,496.0,5421.0,3731.5,EPI_OTHER,1.4107796588517743,0.0
132,MNP,Northern Mariana Islands,0,103.0,2.0,,,,,,EPI_OTHER,18.001957494407158,0.3495525727069351
133,MOZ,Mozambique,1,14566.0,118.0,15212.735000000002,1751.0,-1284.5,-5349.5,-4067.0,EPI_FIRST_WAVE,4.796806537409098,0.038859204408504294
134,MRT,Mauritania,2,7952.0,165.0,11844.224999999999,,,,,EPI_FIRST_WAVE,17.570778063749753,0.3645848064032582
135,MSR,Montserrat,0,13.0,1.0,9888.36,,,,,EPI_OTHER,,
136,MUS,Mauritius,0,491.0,10.0,9744.695,3003.5,-6029.0,-10166.0,-7459.5,EPI_OTHER,3.8792425759118787,0.07900697710614825
137,MWI,Malawi,2,5995.0,185.0,14269.724999999999,,,,,EPI_FIRST_WAVE,3.218144516107283,0.09930887997995785
138,MYS,Malaysia,3,49730.0,318.0,16511.875,3912.0,-6833.0,-10691.5,-9537.5,EPI_SECOND_WAVE,15.56505386563418,0.09953121112551114
139,NAM,Namibia,2,13566.0,140.0,13731.24,2374.0,-3670.5,-11738.0,-5288.5,EPI_FIRST_WAVE,54.382989982080794,0.5612279667913395
140,NCL,New Caledonia,0,30.0,0.0,,,,,,EPI_OTHER,1.0423905489923557,0.0
141,NER,Niger,0,1327.0,70.0,7499.48,1343.0,-3772.0,-2128.0,-575.5,EPI_OTHER,0.5692661078821477,0.03002910893123613
142,NGA,Nigeria,1,65457.0,1163.0,17377.475000000002,3656.5,-4751.0,-3901.5,-6035.0,EPI_FIRST_WAVE,3.257157033697431,0.05787117695876854
143,NIC,Nicaragua,2,5661.0,159.0,3120.675,2521.0,-4890.0,-6995.5,-6548.5,EPI_FIRST_WAVE,8.648687297017096,0.24291490553360154
144,NLD,Netherlands,3,456453.0,8604.0,14249.24,2208.5,-7021.5,-10785.5,-4509.5,EPI_SECOND_WAVE,263.34561252188763,4.963984572646737
145,NOR,Norway,3,29510.0,298.0,11815.155,1417.5,-7127.0,-7052.5,-2620.0,EPI_SECOND_WAVE,55.180579427872196,0.5572284876145684
146,NPL,Nepal,3,211475.0,1247.0,20914.380000000005,3671.0,-9011.0,-10019.5,-11661.0,EPI_SECOND_WAVE,73.91979575450972,0.43588124036351167
147,NZL,New Zealand,2,1652.0,25.0,11885.689999999999,2416.5,-3412.0,-10290.5,-5988.0,EPI_FIRST_WAVE,3.3597722188326213,0.0508440105755542
148,OMN,Oman,3,120718.0,1350.0,21055.050000000003,3189.5,-6912.5,-12706.0,-9437.0,EPI_SECOND_WAVE,242.64992906512703,2.7135754753882724
149,PAK,Pakistan,3,363380.0,7230.0,17112.955,1118.0,-2449.5,-1153.0,52.0,EPI_SECOND_WAVE,16.779233321191345,0.33384846967971116
150,PAN,Panama,1,148721.0,2893.0,20029.765,7567.0,-13963.5,-15453.0,-16348.0,EPI_FIRST_WAVE,350.2252122307656,6.812767120874691
151,PER,Peru,2,939931.0,35317.0,21461.875,6511.0,-12097.0,-15070.5,-15384.0,EPI_FIRST_WAVE,289.1165496832665,10.86327526718868
152,PHL,Philippines,1,410718.0,7862.0,21226.12,5366.0,-10279.5,-16343.5,-14144.5,EPI_FIRST_WAVE,37.98842573826419,0.7271777792895199
153,PNG,Papua New Guinea,0,602.0,7.0,13117.085,909.5,3395.0,-3478.0,1513.5,EPI_OTHER,0.685953194063565,0.007976199930971687
154,POL,Poland,1,752940.0,10848.0,13815.650000000001,1453.0,-5287.5,-7295.5,-4625.0,EPI_FIRST_WAVE,198.2940924667681,2.8569266011627756
155,PRI,Puerto Rico,1,79600.0,951.0,19381.715000000004,3704.5,-8028.5,-13308.5,-8603.5,EPI_FIRST_WAVE,249.24116086262492,2.977743014828597
156,PRT,Portugal,3,230124.0,3553.0,16786.21,3437.0,-7832.0,-10933.0,-8023.0,EPI_SECOND_WAVE,224.08672274190442,3.45978744460372
157,PRY,Paraguay,1,72857.0,1613.0,20456.105,3876.0,-4184.0,-11967.0,-9157.5,EPI_FIRST_WAVE,103.4219511128751,2.289685371962441
158,PSE,Palestina,1,77320.0,658.0,20753.02,,,,,EPI_FIRST_WAVE,165.02657457165017,1.404390663064483
159,PYF,French Polynesia,3,12121.0,56.0,,,,,,EPI_SECOND_WAVE,433.9980020552335,2.0051058588477084
160,QAT,Qatar,2,136222.0,235.0,18918.335000000003,3441.0,-4312.5,-8432.0,-6796.0,EPI_FIRST_WAVE,480.9985074505653,0.8297826287301818
161,ROU,Romania,1,373474.0,9261.0,14746.425000000003,1181.5,-6223.5,-7365.0,-6474.5,EPI_FIRST_WAVE,192.94456696402003,4.784428459956488
162,RUS,Russia,1,1991998.0,34387.0,16079.335,945.0,-7126.0,-3249.0,-5149.5,EPI_FIRST_WAVE,137.9752875068135,2.3818077184298354
163,RWA,Rwanda,2,5507.0,46.0,18840.155000000006,3625.5,-6076.0,-7190.0,-5113.0,EPI_FIRST_WAVE,4.361306570470304,0.03643001674988813
