,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
0,ABW,Aruba,-6,EPI_FIRST_WAVE,106314.0,4838.0,455.0670654852606,45.0,4.232744511541283,88.89,2020-03-13,2020-04-16,2020-08-20,2020-08-30,219,,44.0,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,85.19,0.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,58.33,-31,-18,-18,-18,,-18,-18,-30,,,-18,48.0,18.0,220.0,142.0,0.0,97.0,45.0,55.0,0.0,0.0,69,2
1,AFG,Afghanistan,19,EPI_SECOND_WAVE,38041754.0,45844.0,12.050969048377738,1763.0,0.46343814746291667,84.26,2020-04-02,2020-03-24,2020-04-05,2020-04-08,223,57.0,1462.0,,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.93,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,84.26,-10,0,-23,12,4.0,1,19,,147.0,147.0,4,144.0,133.0,167.0,135.0,151.0,154.0,128.0,0.0,48.0,18.0,143,3
2,AGO,Angola,-3,EPI_FIRST_WAVE,31825295.0,15103.0,4.7455962309226045,346.0,0.1087185523339218,90.74,2020-06-20,2020-03-30,2020-06-12,2020-06-24,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,0.0,90.74,,,,,,,,,,,,-6,-3,-3,-3,-3.0,-3,-3,-10,205.0,,-3,,,,,,,,,,,,1
3,AIA,Anguilla,,EPI_OTHER,,4.0,,0.0,,82.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,ALB,Albania,37,EPI_FIRST_WAVE,2854191.0,37625.0,131.82369364909357,798.0,2.7958885722784497,89.81,2020-03-13,2020-03-12,2020-03-25,2020-03-29,,,,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,51.85,,,,,,,,,,,,-3,,-3,37,1.0,1,1,11,,75.0,1,,,,,,,,,,,,1
5,AND,Andorra,209,EPI_FIRST_WAVE,77142.0,6712.0,870.0837416712037,76.0,9.851961318088719,62.96,2020-03-03,2020-03-27,2020-03-30,2020-04-01,,,,,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,48.15,,,,,,,,,,,,-11,-13,102,178,,,,,22.0,124.0,209,,,,,,,,,,,,1
6,ARE,United Arab Emirates,13,EPI_SECOND_WAVE,9770529.0,167753.0,171.69285306865166,570.0,0.5833870407630948,89.81,2020-03-09,2020-03-22,2020-03-31,2020-04-05,147,162.0,301.0,,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,45.37,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,3.0,2.0,72.22,-14,,-6,5,13.0,1,1,3,22.0,-50.0,1,106.0,0.0,98.0,87.0,13.0,40.0,37.0,89.0,70.0,142.0,91,3
7,ARG,Argentina,15,EPI_FIRST_WAVE,44938712.0,1418794.0,315.7175488251644,38473.0,8.561215550637055,100.0,2020-03-22,2020-03-08,2020-03-25,2020-03-27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.11,,,,,,,,,,,,8,11,3,11,15.0,11,12,8,,-4.0,11,,,,,,,,,,,,1
8,ARM,Armenia,,EPI_SECOND_WAVE,2957731.0,135124.0,456.85020037319146,2164.0,7.3164192416416505,,2020-03-15,2020-03-27,2020-04-03,2020-04-09,159,89.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
9,ATG,Antigua and Barbuda,,EPI_OTHER,97118.0,141.0,14.518420890051278,4.0,0.4118700961716675,,2020-03-15,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
