,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
0,2.0,4605.0,Aruba,ABW,44.0,2020-03-16,2020-03-29,2020-03-29,2020-03-29,,2020-03-29,2020-03-29,2020-03-17,,,2020-03-29,106314.0,,,,71.76,85.19,69.44,2020-08-30,2020-04-16,2020-08-20,1.0,2020-11-21,2020-04-16
1,3.0,39297.0,Afghanistan,AFG,1462.0,2020-03-14,2020-03-24,2020-03-01,2020-04-05,2020-03-28,2020-03-25,2020-04-12,,2020-08-18,2020-08-18,2020-03-25,38041754.0,,,,78.7,50.93,78.7,2020-04-08,2020-03-24,2020-04-05,1.0,2020-10-04,2020-02-24
2,3.0,6105.0,Afghanistan,AFG,275.0,2020-03-14,2020-03-24,2020-03-01,2020-04-05,2020-03-28,2020-03-25,2020-04-12,,2020-08-18,2020-08-18,2020-03-25,38041754.0,,,,16.67,16.67,16.67,2020-10-09,2020-10-06,2020-10-06,2.0,2020-11-27,2020-10-04
3,1.0,14814.0,Angola,AGO,338.0,2020-03-24,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-20,2020-11-18,,2020-03-27,31825295.0,,,,75.93,90.74,75.93,2020-06-24,2020-03-30,2020-06-12,1.0,2020-11-27,2020-03-30
4,1.0,35589.0,Albania,ALB,752.0,2020-03-09,,2020-03-09,2020-04-18,2020-03-13,2020-03-13,2020-03-13,2020-03-23,,2020-05-26,2020-03-13,2854191.0,,,,84.26,51.85,84.26,2020-03-29,2020-03-12,2020-03-25,1.0,2020-11-27,2020-03-12
5,1.0,6310.0,Andorra,AND,73.0,2020-03-16,2020-03-14,2020-07-07,2020-09-21,,,,,2020-04-18,2020-07-29,2020-10-22,77142.0,,,,48.15,48.15,48.15,2020-04-01,2020-03-27,2020-03-30,1.0,2020-11-27,2020-03-27
6,3.0,44533.0,United Arab Emirates,ARE,301.0,2020-03-08,,2020-03-16,2020-03-27,2020-04-04,2020-03-23,2020-03-23,2020-03-25,2020-04-13,2020-02-01,2020-03-23,9770529.0,,,,89.81,45.37,84.26,2020-04-05,2020-03-22,2020-03-31,1.0,2020-06-21,2020-01-26
7,3.0,119434.0,United Arab Emirates,ARE,263.0,2020-03-08,,2020-03-16,2020-03-27,2020-04-04,2020-03-23,2020-03-23,2020-03-25,2020-04-13,2020-02-01,2020-03-23,9770529.0,,,,72.22,72.22,72.22,2020-06-28,2020-06-22,2020-06-25,2.0,2020-11-27,2020-06-21
8,1.0,1399409.0,Argentina,ARG,37940.0,2020-03-16,2020-03-19,2020-03-11,2020-03-19,2020-03-23,2020-03-19,2020-03-20,2020-03-16,,2020-03-04,2020-03-19,44938712.0,,,,100.0,11.11,100.0,2020-03-27,2020-03-08,2020-03-25,1.0,2020-11-27,2020-03-08
9,4.0,7290.0,Australia,AUS,102.0,2020-03-24,2020-08-02,2020-03-18,2020-03-29,,2020-04-02,2020-03-19,2020-03-20,2020-04-27,2020-01-25,2020-03-24,25364307.0,,,,68.52,19.44,30.56,2020-03-26,2020-03-01,2020-03-16,1.0,2020-06-13,2020-01-24
