,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_2,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
0,ABW,Aruba,-6,EPI_FIRST_WAVE,106314.0,4401.0,413.9624132287375,36.0,3.3861956092330265,2020-03-13,2020-04-16,2020-08-20,2020-08-30,191,88.89,35.0,,0.666373696714077,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,85.19,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,1.0,56.02,-31,-18,-18,-18,,-18,-18,-30,,,-18,48.0,18.0,66.0,104.0,0.0,90.0,45.0,55.0,0.0,0.0,38,2
1,AFG,Afghanistan,19,EPI_FIRST_WAVE,38041754.0,40687.0,10.695353321510884,1507.0,0.3961436688749946,2020-04-02,2020-03-24,2020-04-05,2020-04-08,210,84.26,1453.0,,12.218594549253696,,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.93,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,84.26,-10,0,-23,12,4.0,1,19,,147.0,147.0,1,144.0,133.0,166.0,135.0,151.0,154.0,128.0,0.0,42.0,18.0,146,2
2,AGO,Angola,-3,EPI_FIRST_WAVE,31825295.0,8582.0,2.696597156444269,260.0,0.08169602198502794,2020-06-20,2020-03-30,2020-06-12,2020-06-24,,90.74,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,0.0,90.74,,,,,,,,,,,,-6,-3,-3,-3,-3.0,-3,-3,-10,,,-3,,,,,,,,,,,,1
3,AIA,Anguilla,,,,3.0,,0.0,,,,,,,82.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,ALB,Albania,37,EPI_FIRST_WAVE,2854191.0,18556.0,65.01316835488585,469.0,1.643197669672422,2020-03-13,2020-03-12,2020-03-25,2020-03-29,,89.81,,,,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,51.85,,,,,,,,,,,,-3,,-3,37,1.0,1,1,11,,75.0,1,,,,,,,,,,,,1
5,AND,Andorra,12,EPI_FIRST_WAVE,77142.0,4038.0,523.4502605584506,69.0,8.94454382826476,2020-03-03,2020-03-27,2020-03-30,2020-04-01,,56.48,,,,,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,48.15,,,,,,,,,,,,-11,-13,102,178,,,,,22.0,124.0,,,,,,,,,,,,,1
6,ARE,United Arab Emirates,13,EPI_SECOND_WAVE,9770529.0,122273.0,125.14470813197525,475.0,0.48615586730257904,2020-03-09,2020-03-22,2020-03-31,2020-04-05,150,89.81,354.0,,3.732425157689061,,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,45.37,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,3.0,2.0,72.22,-14,,-6,5,13.0,1,1,3,22.0,-50.0,1,117.0,0.0,109.0,98.0,13.0,40.0,37.0,100.0,117.0,151.0,102,3
7,ARG,Argentina,15,EPI_FIRST_WAVE,44938712.0,1069355.0,237.95853339098815,28338.0,6.3059217184506755,2020-03-22,2020-03-08,2020-03-25,2020-03-27,,100.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.11,,,,,,,,,,,,8,11,3,11,15.0,11,12,8,,-4.0,11,,,,,,,,,,,,1
8,ARM,Armenia,,EPI_FIRST_WAVE,2957731.0,73310.0,247.85891617594703,1145.0,3.8712107355266587,2020-03-15,2020-03-27,2020-04-03,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,ATG,Antigua and Barbuda,,,97118.0,122.0,12.562037933235857,3.0,0.3089025721287506,2020-03-15,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,AUS,Australia,155,EPI_SECOND_WAVE,25364307.0,27484.0,10.835699157875672,905.0,0.356800601727459,2020-03-13,2020-03-01,2020-03-16,2020-03-26,104,79.17,102.0,788.0,1.690843982124645,9.479848556118117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,19.44,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,68.52,23,154,17,28,,32,18,19,57.0,-36.0,23,25.0,0.0,84.0,64.0,0.0,43.0,83.0,82.0,44.0,26.0,77,4
11,AUT,Austria,3,EPI_FIRST_WAVE,8877067.0,76781.0,86.49365832205615,972.0,1.0949562507526416,2020-03-07,2020-03-13,2020-03-20,2020-03-23,,85.19,,,,,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,48.15,,,,,,,,,,,,3,3,-2,3,,3,0,,77.0,17.0,3,,,,,,,,,,,,1
