,class,country,countrycode,dead_during_wave,population,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
0,2.0,Aruba,ABW,44.0,106314.0,2020-08-30,2020-04-16,2020-08-20,1.0,2020-11-21,2020-04-16
1,3.0,Afghanistan,AFG,1462.0,38041754.0,2020-04-08,2020-03-24,2020-04-05,1.0,2020-10-04,2020-02-24
2,3.0,Afghanistan,AFG,275.0,38041754.0,2020-10-09,2020-10-06,2020-10-06,2.0,2020-11-27,2020-10-04
3,1.0,Angola,AGO,338.0,31825295.0,2020-06-24,2020-03-30,2020-06-12,1.0,2020-11-27,2020-03-30
4,1.0,Albania,ALB,752.0,2854191.0,2020-03-29,2020-03-12,2020-03-25,1.0,2020-11-27,2020-03-12
5,1.0,Andorra,AND,73.0,77142.0,2020-04-01,2020-03-27,2020-03-30,1.0,2020-11-27,2020-03-27
6,3.0,United Arab Emirates,ARE,301.0,9770529.0,2020-04-05,2020-03-22,2020-03-31,1.0,2020-06-21,2020-01-26
7,3.0,United Arab Emirates,ARE,263.0,9770529.0,2020-06-28,2020-06-22,2020-06-25,2.0,2020-11-27,2020-06-21
8,1.0,Argentina,ARG,37940.0,44938712.0,2020-03-27,2020-03-08,2020-03-25,1.0,2020-11-27,2020-03-08
9,3.0,Armenia,ARM,880.0,2957731.0,2020-04-09,2020-03-27,2020-04-03,1.0,2020-09-02,2020-03-27
10,3.0,Armenia,ARM,1209.0,2957731.0,2020-09-05,2020-09-03,2020-09-04,2.0,2020-11-27,2020-09-02
11,4.0,Australia,AUS,102.0,25364307.0,2020-03-26,2020-03-01,2020-03-16,1.0,2020-06-13,2020-01-24
12,4.0,Australia,AUS,805.0,25364307.0,2020-07-17,2020-06-25,2020-07-12,2.0,2020-11-14,2020-06-13
13,3.0,Austria,AUT,677.0,8877067.0,2020-03-23,2020-03-13,2020-03-20,1.0,2020-06-15,2020-02-25
14,3.0,Austria,AUT,1939.0,8877067.0,2020-06-18,2020-06-16,2020-06-18,2.0,2020-11-27,2020-06-15
15,3.0,Azerbaijan,AZE,506.0,10023318.0,2020-04-11,2020-03-21,2020-04-01,1.0,2020-08-16,2020-02-28
16,3.0,Azerbaijan,AZE,750.0,10023318.0,2020-08-24,2020-08-18,2020-08-22,2.0,2020-11-27,2020-08-16
17,4.0,Belgium,BEL,9641.0,11484055.0,2020-03-15,2020-03-10,2020-03-13,1.0,2020-07-01,2020-02-29
18,4.0,Belgium,BEL,5219.0,11484055.0,2020-08-30,2020-08-29,2020-08-30,2.0,2020-11-18,2020-08-28
19,2.0,Benin,BEN,21.0,11801151.0,2020-06-19,2020-04-07,2020-06-13,1.0,2020-07-08,2020-03-31
20,1.0,Bangladesh,BGD,6522.0,163046161.0,2020-04-07,2020-03-22,2020-03-26,1.0,2020-11-27,2020-03-22
21,1.0,Bulgaria,BGR,3528.0,6975761.0,2020-04-02,2020-03-12,2020-03-29,1.0,2020-11-27,2020-03-12
22,2.0,Bahrain,BHR,337.0,1641172.0,2020-05-14,2020-03-17,2020-04-08,1.0,2020-11-23,2020-03-17
23,2.0,Bahamas,BHS,162.0,389482.0,2020-04-24,2020-04-02,2020-04-06,1.0,2020-11-25,2020-04-02
24,1.0,Bosnia and Herzegovina,BIH,2479.0,3301000.0,2020-04-01,2020-03-22,2020-03-29,1.0,2020-11-27,2020-03-22
25,3.0,Belarus,BLR,613.0,9466856.0,2020-04-07,2020-04-03,2020-04-05,1.0,2020-08-18,2020-02-27
26,3.0,Belarus,BLR,515.0,9466856.0,2020-08-21,2020-08-19,2020-08-20,2.0,2020-11-27,2020-08-18
27,1.0,Belize,BLZ,130.0,390353.0,2020-08-25,2020-04-06,2020-08-20,1.0,2020-11-27,2020-04-06
28,2.0,Bolivia,BOL,3881.0,11513100.0,2020-04-04,2020-03-30,2020-03-31,1.0,2020-08-15,2020-03-30
29,1.0,Brazil,BRA,171459.0,211049527.0,2020-03-21,2020-03-18,2020-03-20,1.0,2020-11-27,2020-03-18
30,2.0,Central African Republic,CAF,62.0,4745185.0,2020-06-16,2020-05-24,2020-06-07,1.0,2020-10-18,2020-04-21
31,3.0,Canada,CAN,8522.0,37589262.0,2020-03-20,2020-03-10,2020-03-18,1.0,2020-06-29,2020-02-14
32,3.0,Canada,CAN,3277.0,37589262.0,2020-06-30,2020-06-30,2020-06-30,2.0,2020-11-27,2020-06-29
33,3.0,Switzerland,CHE,1660.0,8574832.0,2020-03-15,2020-03-06,2020-03-14,1.0,2020-06-09,2020-02-25
34,3.0,Switzerland,CHE,2435.0,8574832.0,2020-06-11,2020-06-10,2020-06-11,2.0,2020-11-27,2020-06-09
35,2.0,Chile,CHL,10723.0,18952038.0,2020-04-01,2020-03-23,2020-03-28,1.0,2020-08-22,2020-03-10
