,countrycode,date,tests
1503,ARE,2020-01-29,75.0
1504,ARE,2020-01-30,136.0
1505,ARE,2020-01-31,197.0
1506,ARE,2020-02-01,258.0
1507,ARE,2020-02-02,340.0
1508,ARE,2020-02-03,422.0
1509,ARE,2020-02-04,504.0
1510,ARE,2020-02-05,586.0
1511,ARE,2020-02-06,668.0
1512,ARE,2020-02-07,750.0
1513,ARE,2020-02-08,832.0
1514,ARE,2020-02-09,2192.0
1515,ARE,2020-02-10,2629.0
1516,ARE,2020-02-11,2705.5
1517,ARE,2020-02-12,2782.0
1518,ARE,2020-02-13,2858.5
1519,ARE,2020-02-14,2935.0
1520,ARE,2020-02-15,3988.5
1521,ARE,2020-02-16,5042.0
1522,ARE,2020-02-17,5867.5
1523,ARE,2020-02-18,6693.0
1524,ARE,2020-02-19,7426.666666666667
1525,ARE,2020-02-20,8160.333333333333
1526,ARE,2020-02-21,8894.0
1527,ARE,2020-02-22,12990.0
1528,ARE,2020-02-23,13255.0
1529,ARE,2020-02-24,13520.0
1530,ARE,2020-02-25,13785.0
1531,ARE,2020-02-26,14050.0
1532,ARE,2020-02-27,14315.0
1533,ARE,2020-02-28,22921.0
1534,ARE,2020-02-29,23449.25
1535,ARE,2020-03-01,23977.5
1536,ARE,2020-03-02,24505.75
1537,ARE,2020-03-03,25034.0
1538,ARE,2020-03-04,37758.0
1539,ARE,2020-03-05,43134.5
1540,ARE,2020-03-06,48511.0
1541,ARE,2020-03-07,52991.0
1542,ARE,2020-03-08,56465.5
1543,ARE,2020-03-09,59940.0
1544,ARE,2020-03-10,63558.0
1545,ARE,2020-03-11,68544.5
1546,ARE,2020-03-12,73531.0
1547,ARE,2020-03-13,78551.0
1548,ARE,2020-03-14,83571.0
1549,ARE,2020-03-15,90187.0
1550,ARE,2020-03-16,95449.5
1551,ARE,2020-03-17,100712.0
1552,ARE,2020-03-18,107640.5
1553,ARE,2020-03-19,114569.0
1554,ARE,2020-03-20,120922.0
1555,ARE,2020-03-21,127275.0
1556,ARE,2020-03-22,135649.0
1557,ARE,2020-03-23,144023.0
1558,ARE,2020-03-24,153116.0
1559,ARE,2020-03-25,162652.0
1560,ARE,2020-03-26,172093.0
1561,ARE,2020-03-27,181534.0
1562,ARE,2020-03-28,189750.0
1563,ARE,2020-03-29,198848.0
1564,ARE,2020-03-30,206542.0
1565,ARE,2020-03-31,220000.0
1566,ARE,2020-04-01,240480.0
1567,ARE,2020-04-02,262913.0
1568,ARE,2020-04-03,294315.0
1569,ARE,2020-04-04,334265.0
1570,ARE,2020-04-05,392613.0
1571,ARE,2020-04-06,432483.0
1572,ARE,2020-04-07,490777.0
1573,ARE,2020-04-08,539195.0
1574,ARE,2020-04-09,579195.0
1575,ARE,2020-04-10,628195.0
1576,ARE,2020-04-11,648195.0
1577,ARE,2020-04-12,670195.0
1578,ARE,2020-04-13,693575.0
1579,ARE,2020-04-14,725575.0
1580,ARE,2020-04-15,767000.0
1581,ARE,2020-04-16,792000.0
1582,ARE,2020-04-17,816000.0
1583,ARE,2020-04-18,837806.0
1584,ARE,2020-04-19,863601.0
1585,ARE,2020-04-20,886408.0
1586,ARE,2020-04-21,906573.0
1587,ARE,2020-04-22,929626.0
1588,ARE,2020-04-23,955132.0
1589,ARE,2020-04-24,981406.0
1590,ARE,2020-04-25,1003390.0
1591,ARE,2020-04-26,1028476.0
1592,ARE,2020-04-27,1054671.0
1593,ARE,2020-04-28,1082576.0
1594,ARE,2020-04-29,1109100.0
1595,ARE,2020-04-30,1145366.0
1596,ARE,2020-05-01,1172043.0
1597,ARE,2020-05-02,1190471.0
1598,ARE,2020-05-03,1218510.0
1599,ARE,2020-05-04,1243741.0
1600,ARE,2020-05-05,1277735.0
1601,ARE,2020-05-06,1318869.0
1602,ARE,2020-05-07,1352022.0
1603,ARE,2020-05-08,1381888.0
1604,ARE,2020-05-09,1408651.0
1605,ARE,2020-05-10,1441248.0
1606,ARE,2020-05-11,1476117.0
1607,ARE,2020-05-12,1513229.0
1608,ARE,2020-05-13,1551706.0
1609,ARE,2020-05-14,1587441.0
1610,ARE,2020-05-15,1628161.0
1611,ARE,2020-05-16,1666005.0
1612,ARE,2020-05-17,1704909.0
1613,ARE,2020-05-18,1748641.0
1614,ARE,2020-05-19,1792634.0
1615,ARE,2020-05-20,1843011.0
1616,ARE,2020-05-21,1882802.0
1617,ARE,2020-05-22,1918488.0
1618,ARE,2020-05-23,1959690.0
1619,ARE,2020-05-24,1987972.0
1620,ARE,2020-05-25,2015512.0
1621,ARE,2020-05-26,2054140.0
1622,ARE,2020-05-27,2090271.0
1623,ARE,2020-05-28,2132895.0
1624,ARE,2020-05-29,2170048.0
1625,ARE,2020-05-30,2200195.0
1626,ARE,2020-05-31,2235232.0
1627,ARE,2020-06-01,2276994.0
1628,ARE,2020-06-02,2331817.0
1629,ARE,2020-06-03,2376058.0
1630,ARE,2020-06-04,2429054.0
1631,ARE,2020-06-05,2473255.0
1632,ARE,2020-06-06,2505934.0
1633,ARE,2020-06-07,2543574.0
1634,ARE,2020-06-08,2590775.0
1635,ARE,2020-06-09,2636153.0
1636,ARE,2020-06-10,2680320.0
1637,ARE,2020-06-11,2721044.0
1638,ARE,2020-06-12,2764057.0
1639,ARE,2020-06-13,2791098.0
1640,ARE,2020-06-14,2829134.0
1641,ARE,2020-06-15,2869021.0
1642,ARE,2020-06-16,2909499.0
1643,ARE,2020-06-17,2948001.0
1644,ARE,2020-06-18,2982365.0
1645,ARE,2020-06-19,3030889.0
1646,ARE,2020-06-20,3071765.0
1647,ARE,2020-06-21,3112721.0
1648,ARE,2020-06-22,3157012.0
1649,ARE,2020-06-23,3206662.0
1650,ARE,2020-06-24,3255814.0
1651,ARE,2020-06-25,3308341.0
1652,ARE,2020-06-26,3367082.0
1653,ARE,2020-06-27,3410633.0
1654,ARE,2020-06-28,3474603.0
1655,ARE,2020-06-29,3536631.0
1656,ARE,2020-06-30,3592808.0
1657,ARE,2020-07-01,3647166.0
1658,ARE,2020-07-02,3718863.0
1659,ARE,2020-07-03,3766793.0
1660,ARE,2020-07-04,3794802.0
1661,ARE,2020-07-05,3838994.0
