"countrycode","days_to_t0","class"
"ABW",229,1
"AFG",112,2
"AGO",212,1
"ALB",147,1
"AND",231,0
"ARE",94,2
"ARG",93,1
"ARM",103,2
"AUS",82,4
"AUT",77,3
"AZE",103,2
"BEL",73,3
"BEN",178,0
"BFA",189,3
"BGD",106,2
"BGR",114,4
"BHR",103,2
"BHS",226,1
"BIH",104,4
"BLR",100,2
"BOL",119,2
"BRA",82,1
"BWA",224,1
"CAF",153,2
"CAN",82,2
"CHE",74,3
"CHL",86,2
"CHN",25,2
"CIV",115,2
"CMR",109,2
"COD",132,2
"COG",173,2
"COL",93,1
"CPV",178,1
"CRI",150,1
"CUB",111,3
"CYP",187,3
"CZE",83,3
"DEU",70,3
"DJI",117,2
"DNK",78,3
"DOM",92,2
"DZA",95,4
"ECU",85,3
"EGY",97,2
"ESP",68,3
"EST",96,2
"ETH",152,1
"FIN",88,2
"FRA",69,3
"GAB",135,0
"GBR",73,3
"GEO",197,3
"GHA",111,2
"GIN",118,0
"GMB",221,1
"GNB",141,2
"GNQ",145,0
"GRC",89,3
"GTM",132,1
"HND",124,2
"HRV",94,3
"HTI",147,2
"HUN",101,3
"IDN",88,1
"IND",90,1
"IRL",84,3
"IRN",63,3
"IRQ",98,1
"ISL",90,3
"ISR",83,4
"ITA",61,2
"JAM",222,3
"JOR",171,0
"JPN",81,4
"KAZ",105,0
"KEN",142,2
"KGZ",131,2
"KOR",57,3
"KWT",103,2
"LBN",143,1
"LBR",195,2
"LBY",189,1
"LKA",141,0
"LSO",235,1
"LTU",103,3
"LUX",85,4
"LVA",139,2
"MAR",97,1
"MDA",99,1
"MDG",159,2
"MDV",137,3
"MEX",91,2
"MKD",108,4
"MLI",145,2
"MLT",223,3
"MNE",192,4
"MOZ",189,1
"MRT",162,2
"MWI",179,2
"MYS",81,2
"NAM",199,1
"NER",169,2
"NGA",116,2
"NIC",155,2
"NLD",76,3
"NOR",76,3
"NPL",150,3
"NZL",101,3
"OMN",108,2
"PAK",86,2
"PAN",91,1
"PER",92,3
"PHL",89,1
"POL",86,3
"PRI",108,1
"PRT",81,2
"PRY",155,1
"PSE",174,1
"QAT",96,2
"ROU",87,3
"RUS",88,2
"RWA",182,1
"SAU",87,2
"SDN",130,2
"SEN",123,1
"SGP",93,4
"SLE",161,2
"SLV",134,2
"SOM",132,2
"SRB",93,4
"SSD",157,2
"SUR",201,1
"SVK",109,3
"SVN",98,3
"SWE",76,2
"SWZ",189,1
"SYR",221,1
"TGO",219,1
"THA",86,2
"TJK",137,2
"TUN",124,3
"TUR",83,2
"UGA",192,0
"UKR",95,1
"URY",198,0
"USA",71,4
"UZB",106,2
"VEN",146,1
"VNM",234,4
"XKO",142,4
"YEM",177,2
"ZAF",88,2
"ZMB",149,2
"ZWE",196,2
"AIA",NA,0
"ATG",NA,0
"BDI",NA,0
"BES",NA,0
"BLZ",NA,1
"BMU",NA,0
"BRB",NA,0
"BRN",NA,0
"BTN",NA,0
"COM",NA,0
"CUW",NA,0
"CYM",NA,0
"DMA",NA,0
"ERI",NA,2
"ESH",NA,2
"FJI",NA,0
"FLK",NA,0
"FRO",NA,0
"GGY",NA,2
"GIB",NA,0
"GRD",NA,0
"GRL",NA,0
"GUM",NA,1
"GUY",NA,1
"IMN",NA,2
"JEY",NA,2
"KHM",NA,0
"KNA",NA,0
"LAO",NA,0
"LCA",NA,0
"LIE",NA,0
"MCO",NA,0
"MMR",NA,0
"MNG",NA,0
"MNP",NA,0
"MSR",NA,0
"MUS",NA,2
"NCL",NA,0
"PNG",NA,1
"PYF",NA,0
"SMR",NA,2
"STP",NA,4
"SXM",NA,1
"SYC",NA,2
"TCA",NA,1
"TCD",NA,2
"TLS",NA,0
"TTO",NA,1
"TWN",NA,2
"TZA",NA,2
"VAT",NA,0
"VCT",NA,0
"VGB",NA,0
"VIR",NA,1
