COUNTRYCODE,EPI_PEAK_1_GENUINE,EPI_PEAK_2_GENUINE,EPI_PEAK_3_GENUINE,EPI_PEAK_4_GENUINE,EPI_ENTERING_FIRST,EPI_PAST_FIRST,EPI_ENTERING_SECOND,EPI_PAST_SECOND,EPI_CONFIDENCE_FLAG
ABW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
AFG,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
AGO,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
AIA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
ALB,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
AND,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
ARE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
ARG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
ARM,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
ATG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
AUS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
AUT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
AZE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
BDI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BEL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
BEN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
BGD,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
BGR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
BHR,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
BHS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
BIH,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
BLR,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
BLZ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
BMU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BOL,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
BRA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
BRB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BRN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BTN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
BWA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
CAF,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
CAN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
CHE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
CHL,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
CHN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
CIV,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
CMR,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
COD,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
COG,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
COL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
COM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
CPV,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
CRI,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
CUB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
CUW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
CYM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
CYP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
CZE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
DEU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
DJI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
DMA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
DNK,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
DOM,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
DZA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
ECU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
EGY,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
ERI,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
ESH,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
ESP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
EST,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
ETH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
FIN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
FJI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FLK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FRA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
